model_key,model_name,relation,total,refusal,hallucination,other,refusal_rate,refusal_ci_low,refusal_ci_high,halluc_rate,halluc_ci_low,halluc_ci_high,lre_model_name,lre_model_id,num_layers,subject_layer,object_layer,n_total,n_train,n_test,cos_mean,cos_std,base_cos_mean,base_cos_std,cos_improvement,mse
gemma_7b_it,gemma_7b_it_baseline,father,1000,980,20,0,0.98,0.9693097584861028,0.9870164188709624,0.02,0.0129835811290376,0.0306902415138972,gemma_7b_it,google/gemma-7b-it,28,14,26,991.0,743.0,248.0,0.8291015625,0.093994140625,0.245361328125,0.053192138671875,0.583984375,0.193115234375
gemma_7b_it,gemma_7b_it_baseline,instrument,1000,11,989,0,0.011,0.0061531100891141,0.0195895967283757,0.989,0.9804104032716244,0.993846889910886,gemma_7b_it,google/gemma-7b-it,28,14,26,513.0,384.0,129.0,0.90625,0.03326416015625,0.145263671875,0.025482177734375,0.7607421875,0.11749267578125
llama3_1_8b_instruct,llama3_1_8b_instruct_baseline,father,1000,336,664,0,0.336,0.3074010775632927,0.3658541451730435,0.664,0.6341458548269566,0.6925989224367074,llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,991.0,743.0,248.0,0.84619140625,0.0849609375,0.2130126953125,0.043975830078125,0.63330078125,0.14794921875
llama3_1_8b_instruct,llama3_1_8b_instruct_baseline,instrument,1000,95,905,0,0.095,0.0783449556647148,0.1147548321902615,0.905,0.8852451678097385,0.9216550443352852,llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,513.0,384.0,129.0,0.888671875,0.025665283203125,0.1507568359375,0.027435302734375,0.73779296875,0.12548828125
mistral_7b_instruct,mistral_7b_instruct_baseline,father,1000,779,221,0,0.779,0.7522423161766015,0.8036222744121927,0.221,0.1963777255878074,0.2477576838233985,mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,991.0,743.0,248.0,0.80517578125,0.12274169921875,0.2052001953125,0.0489501953125,0.60009765625,0.060699462890625
mistral_7b_instruct,mistral_7b_instruct_baseline,instrument,1000,49,951,0,0.049,0.0372608473061714,0.0641910152187527,0.951,0.9358089847812472,0.9627391526938284,mistral_7b_instruct,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,513.0,384.0,129.0,0.869140625,0.043914794921875,0.1611328125,0.02459716796875,0.7080078125,0.059539794921875
qwen2_5_7b_instruct,qwen2_5_7b_instruct_baseline,father,1000,160,840,0,0.16,0.1385848925344839,0.1840173985042616,0.84,0.8159826014957384,0.861415107465516,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,28,14,26,991.0,743.0,248.0,0.845703125,0.09033203125,0.341796875,0.057159423828125,0.50390625,11.984375
qwen2_5_7b_instruct,qwen2_5_7b_instruct_baseline,instrument,1000,185,815,0,0.185,0.1621544065575975,0.2102565395518285,0.815,0.7897434604481715,0.8378455934424025,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,28,14,26,513.0,384.0,129.0,0.92529296875,0.0211334228515625,0.316162109375,0.04388427734375,0.609375,7.69140625
gemma_7b_it,gemma_7b_it_relpanel,company_ceo,1000,947,53,0,0.947,0.9313250610861062,0.9592536915776608,0.053,0.0407463084223393,0.0686749389138938,gemma_7b_it,google/gemma-7b-it,28,14,26,298.0,223.0,75.0,0.724609375,0.11785888671875,0.1673583984375,0.045989990234375,0.55712890625,0.263427734375
gemma_7b_it,gemma_7b_it_relpanel,company_hq,1000,97,903,0,0.097,0.0801688795585504,0.1169156007020803,0.903,0.8830843992979197,0.9198311204414495,gemma_7b_it,google/gemma-7b-it,28,14,26,674.0,505.0,169.0,0.806640625,0.07244873046875,0.1536865234375,0.04022216796875,0.65283203125,0.205322265625
