model_key,model_name,split,relation,total,refusal,hallucination,other,refusal_rate,refusal_ci_low,refusal_ci_high,halluc_rate,halluc_ci_low,halluc_ci_high,lre_model_name,lre_model_id,num_layers,subject_layer,object_layer,n_total,n_train,n_test,cos_mean,cos_std,base_cos_mean,base_cos_std,cos_improvement,mse
gemma_7b_it,gemma_7b_it_baseline,future,father,1000,980,20,0,0.98,0.9693097584861028,0.9870164188709624,0.02,0.0129835811290376,0.0306902415138972,gemma_7b_it,google/gemma-7b-it,28,14,26,991.0,743.0,248.0,0.7812849283218384,0.1112504824995994,0.1767340749502182,0.0384316891431808,0.604550838470459,0.2328006327152252
gemma_7b_it,gemma_7b_it_baseline,future,instrument,1000,11,989,0,0.011,0.0061531100891141,0.0195895967283757,0.989,0.9804104032716244,0.993846889910886,gemma_7b_it,google/gemma-7b-it,28,14,26,513.0,384.0,129.0,0.9343382716178894,0.0269001647830009,0.1233600676059722,0.0174178462475538,0.8109781742095947,0.0901243984699249
gemma_7b_it,gemma_7b_it_relpanel,relpanel_q,sport,1000,330,670,0,0.33,0.3015550314798513,0.3597461140395216,0.67,0.6402538859604785,0.6984449685201488,gemma_7b_it,google/gemma-7b-it,28,14,26,318.0,238.0,80.0,0.9331026077270508,0.0140315378084778,0.1437279284000396,0.0198252387344837,0.7893747091293335,0.0849901214241981
gemma_7b_it,gemma_7b_it_relpanel,relpanel_q,company_ceo,1000,947,53,0,0.947,0.9313250610861062,0.9592536915776608,0.053,0.0407463084223393,0.0686749389138938,gemma_7b_it,google/gemma-7b-it,28,14,26,298.0,223.0,75.0,0.6114072799682617,0.0519294962286949,0.1711395829916,0.0288283340632915,0.4402676820755005,0.1703556925058365
gemma_7b_it,gemma_7b_it_relpanel,relpanel_q,company_hq,1000,97,903,0,0.097,0.0801688795585504,0.1169156007020803,0.903,0.8830843992979197,0.9198311204414495,gemma_7b_it,google/gemma-7b-it,28,14,26,674.0,505.0,169.0,0.8083242177963257,0.0773145109415054,0.1388147622346878,0.0272097084671258,0.6695094704627991,0.2060002386569976
gemma_7b_it,gemma_7b_it_relpanel,relpanel_q,country_language,1000,748,252,0,0.748,0.7201761117294745,0.7739257465716758,0.252,0.2260742534283241,0.2798238882705255,gemma_7b_it,google/gemma-7b-it,28,14,26,24.0,18.0,6.0,0.9080467224121094,0.0225897226482629,0.1712598204612732,0.0327820666134357,0.7367869019508362,0.1261823922395706
llama3_1_8b_instruct,llama3_1_8b_instruct_baseline,future,father,1000,336,664,0,0.336,0.3074010775632927,0.3658541451730435,0.664,0.6341458548269566,0.6925989224367074,llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,991.0,743.0,248.0,0.6734901070594788,0.0899646654725074,0.1622463762760162,0.0300698280334472,0.5112437009811401,0.2004642188549041
llama3_1_8b_instruct,llama3_1_8b_instruct_baseline,future,instrument,1000,95,905,0,0.095,0.0783449556647148,0.1147548321902615,0.905,0.8852451678097385,0.9216550443352852,llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,513.0,384.0,129.0,0.9054374098777772,0.0238828901201486,0.108523815870285,0.0177130904048681,0.7969136238098145,0.0963687300682067
llama3_1_8b_instruct,llama3_1_8b_instruct_relpanel,relpanel_q,sport,1000,46,954,0,0.046,0.034662312804573,0.0608125111118695,0.954,0.9391874888881304,0.9653376871954268,llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,318.0,238.0,80.0,0.909494698047638,0.0134039241820573,0.1265950053930282,0.019883707165718,0.7828996777534485,0.0894901379942894
llama3_1_8b_instruct,llama3_1_8b_instruct_relpanel,relpanel_q,company_ceo,1000,797,203,0,0.797,0.7709545857064829,0.8207722365332012,0.203,0.1792277634667988,0.2290454142935171,llama3_1_8b_instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,298.0,223.0,75.0,0.7361354231834412,0.0489362552762031,0.1704674959182739,0.0276292338967323,0.5656679272651672,0.0833201929926872
