threshold,target,model_key,denom_col,x_col,y_col,n_rel,r_stable,p_stable,r_stable_weighted,p_stable_weighted,n_eff_weighted
1,hall_given_value,gemma_7b_it,n_value,delta_cos_mean_value,hall_rate_given_value,47,-0.23576726319720864,0.11062357746009355,-0.11746984181716164,0.660274924093722,16.39374256701125
1,hall_given_value,llama3_1_8b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,47,-0.4075868148286973,0.004459902367104187,-0.6602008798475735,0.004521980830372517,16.54931803377037
1,hall_given_value,mistral_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,47,-0.0658059512895473,0.6603198798244493,-0.5327175698617025,0.0285537669501026,16.84120536535716
1,hall_given_value,qwen2_5_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,47,-0.24983311020052934,0.09033694622323026,-0.5302521785288271,0.03146354146471846,16.49471641331669
1,refusal,gemma_7b_it,n_total,delta_cos_mean_all,refusal_rate,47,-0.32371684019951197,0.026440724800156003,-0.7549890739697879,0.0005817436788514422,16.47722805066
1,refusal,llama3_1_8b_instruct,n_total,delta_cos_mean_all,refusal_rate,47,-0.10870607741222432,0.4670157973426484,-0.07537452429256566,0.7777211036413434,16.47722805066
1,refusal,mistral_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,47,-0.1142851743946003,0.44432324386088295,-0.5900235810535367,0.014368013503648098,16.47722805066
1,refusal,qwen2_5_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,47,-0.054755768667595545,0.7146987908891302,-0.16747559563132508,0.5281630286971296,16.47722805066
2,hall_given_value,gemma_7b_it,n_value,delta_cos_mean_value,hall_rate_given_value,47,-0.23576726319720864,0.11062357746009355,-0.11746984181716164,0.660274924093722,16.39374256701125
2,hall_given_value,llama3_1_8b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,47,-0.4075868148286973,0.004459902367104187,-0.6602008798475735,0.004521980830372517,16.54931803377037
2,hall_given_value,mistral_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,47,-0.0658059512895473,0.6603198798244493,-0.5327175698617025,0.0285537669501026,16.84120536535716
2,hall_given_value,qwen2_5_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,47,-0.24983311020052934,0.09033694622323026,-0.5302521785288271,0.03146354146471846,16.49471641331669
2,refusal,gemma_7b_it,n_total,delta_cos_mean_all,refusal_rate,47,-0.32371684019951197,0.026440724800156003,-0.7549890739697879,0.0005817436788514422,16.47722805066
2,refusal,llama3_1_8b_instruct,n_total,delta_cos_mean_all,refusal_rate,47,-0.10870607741222432,0.4670157973426484,-0.07537452429256566,0.7777211036413434,16.47722805066
2,refusal,mistral_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,47,-0.1142851743946003,0.44432324386088295,-0.5900235810535367,0.014368013503648098,16.47722805066
2,refusal,qwen2_5_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,47,-0.054755768667595545,0.7146987908891302,-0.16747559563132508,0.5281630286971296,16.47722805066
3,hall_given_value,gemma_7b_it,n_value,delta_cos_mean_value,hall_rate_given_value,47,-0.23576726319720864,0.11062357746009355,-0.11746984181716164,0.660274924093722,16.39374256701125
3,hall_given_value,llama3_1_8b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,47,-0.4075868148286973,0.004459902367104187,-0.6602008798475735,0.004521980830372517,16.54931803377037
3,hall_given_value,mistral_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,47,-0.0658059512895473,0.6603198798244493,-0.5327175698617025,0.0285537669501026,16.84120536535716
3,hall_given_value,qwen2_5_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,47,-0.24983311020052934,0.09033694622323026,-0.5302521785288271,0.03146354146471846,16.49471641331669
3,refusal,gemma_7b_it,n_total,delta_cos_mean_all,refusal_rate,47,-0.32371684019951197,0.026440724800156003,-0.7549890739697879,0.0005817436788514422,16.47722805066
3,refusal,llama3_1_8b_instruct,n_total,delta_cos_mean_all,refusal_rate,47,-0.10870607741222432,0.4670157973426484,-0.07537452429256566,0.7777211036413434,16.47722805066
