threshold,target,model_key,denom_col,x_col,y_col,n_rel,r_stable,p_stable,r_stable_weighted,p_stable_weighted,n_eff_weighted
9,hall_given_value,gemma_7b_it,n_value,delta_cos_mean_value,hall_rate_given_value,31,-0.4035435989285791,0.02437234379741283,-0.14058517411046906,0.6171401993883154,15.008303238459447
9,hall_given_value,llama3_1_8b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,31,-0.5010703304657189,0.00408772924669482,-0.6819513143630398,0.004586898846355801,15.309002078489318
9,hall_given_value,mistral_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,31,-0.2649201897362899,0.14978846241588117,-0.5774108752499343,0.02114828380901888,15.577523014973147
9,hall_given_value,qwen2_5_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,31,-0.4629603880951912,0.008724913081658356,-0.5594676297268001,0.028381780075307072,15.272724742733713
9,refusal,gemma_7b_it,n_total,delta_cos_mean_all,refusal_rate,31,-0.47431599724146273,0.007021919881037926,-0.7684280087947823,0.000721443841029108,15.259877828121645
9,refusal,llama3_1_8b_instruct,n_total,delta_cos_mean_all,refusal_rate,31,-0.25775630353010415,0.1615322682090535,-0.08574899058981836,0.7588509145961636,15.259877828121645
9,refusal,mistral_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,31,-0.3958565911157249,0.027496453304328324,-0.6456411760746923,0.00862492798772355,15.259877828121645
9,refusal,qwen2_5_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,31,-0.02593143091364209,0.8898690143063094,-0.16701333501272403,0.5477936262016404,15.259877828121645
10,hall_given_value,gemma_7b_it,n_value,delta_cos_mean_value,hall_rate_given_value,30,-0.40030868668944514,0.02837941186681849,-0.13908118805571007,0.6226532735564629,14.886337287369573
10,hall_given_value,llama3_1_8b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,30,-0.49567418477869557,0.005346422744318407,-0.6819631152492537,0.0047511323976790285,15.206487320481884
10,hall_given_value,mistral_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,30,-0.25537534181584415,0.17319063225739792,-0.5778363595376919,0.021554212059006015,15.472123634649623
10,hall_given_value,qwen2_5_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,30,-0.4555047452122077,0.011423310806868498,-0.5596280521976985,0.02895158970922705,15.172605461607308
10,refusal,gemma_7b_it,n_total,delta_cos_mean_all,refusal_rate,30,-0.47074859797873375,0.00865313030349301,-0.7680510258010284,0.0007642208375989962,15.160130996937735
10,refusal,llama3_1_8b_instruct,n_total,delta_cos_mean_all,refusal_rate,30,-0.2504800999145583,0.18186377427784126,-0.08477092213514709,0.7624317278505864,15.160130996937735
10,refusal,mistral_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,30,-0.3914894333419561,0.032404265424075304,-0.6455006311606766,0.00890799906766413,15.160130996937735
10,refusal,qwen2_5_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,30,-0.019774085836326068,0.9173955903989118,-0.1664617170378649,0.5506985310617762,15.160130996937735
11,hall_given_value,gemma_7b_it,n_value,delta_cos_mean_value,hall_rate_given_value,28,-0.5023302892995418,0.006448948511826378,-0.14935799567194744,0.6009015985747423,14.617928702046916
11,hall_given_value,llama3_1_8b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,27,-0.5590883248626543,0.0024326385583500324,-0.6920815585886546,0.004456797833075677,14.868128612976195
11,hall_given_value,mistral_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,28,-0.45649843173700755,0.01461374856460352,-0.6046120407481415,0.015937877416901818,15.239825564429337
11,hall_given_value,qwen2_5_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,28,-0.49279478611982064,0.007715219124195812,-0.5625026530049119,0.02935894152069977,14.95187665205787
11,refusal,gemma_7b_it,n_total,delta_cos_mean_all,refusal_rate,28,-0.4712965018991553,0.01135411658652962,-0.7689040901680742,0.0008311247761432187,14.940217853799677
11,refusal,llama3_1_8b_instruct,n_total,delta_cos_mean_all,refusal_rate,28,-0.24249091820176938,0.21375801865875896,-0.08322605219645977,0.768623418410996,14.940217853799677
11,refusal,mistral_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,28,-0.39545211976006733,0.037260549394823636,-0.6471686535753204,0.009275437104835997,14.940217853799677
11,refusal,qwen2_5_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,28,-0.016231428939773043,0.9346642184359079,-0.16693994806170234,0.5530200164033701,14.940217853799677
12,hall_given_value,gemma_7b_it,n_value,delta_cos_mean_value,hall_rate_given_value,27,-0.463296339416677,0.014942040575065669,-0.1359382850258032,0.6363803261000317,14.47179374534868
12,hall_given_value,llama3_1_8b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,27,-0.5590883248626543,0.0024326385583500324,-0.6920815585886546,0.004456797833075677,14.868128612976195
12,hall_given_value,mistral_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,27,-0.5039685332001775,0.007356579755851961,-0.6115741710465142,0.014950984147547964,15.11315361766519
12,hall_given_value,qwen2_5_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,27,-0.4942311056173788,0.008783882103230575,-0.5640823890338093,0.0295903811417252,14.831475335371668
12,refusal,gemma_7b_it,n_total,delta_cos_mean_all,refusal_rate,27,-0.5148198784188579,0.006000987691437491,-0.7766884840133479,0.0007212200728493652,14.820258384955705
12,refusal,llama3_1_8b_instruct,n_total,delta_cos_mean_all,refusal_rate,27,-0.1637493677880711,0.4144227041455775,-0.07362683829791976,0.7957188448047428,14.820258384955705
12,refusal,mistral_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,27,-0.4237384826888938,0.027624130233187893,-0.652764458051663,0.008815484668695028,14.820258384955705
12,refusal,qwen2_5_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,27,-0.0323566830717998,0.8727108000559171,-0.17020609683865992,0.547107548542083,14.820258384955705
26,hall_given_value,gemma_7b_it,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.38203276954795445,0.1599540516323292,-0.09842822668523807,0.7643052482538448,11.720439658413092
26,hall_given_value,llama3_1_8b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.6955391640883402,0.003986868820201696,-0.729326149221571,0.005695050874410651,12.526546837428242
26,hall_given_value,mistral_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.5612774629902949,0.029477657596353575,-0.6280806582211099,0.02353058250625961,12.69061188080961
26,hall_given_value,qwen2_5_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.498821119197559,0.05838551605321855,-0.584704572651831,0.04028569632275552,12.523225627801526
26,refusal,gemma_7b_it,n_total,delta_cos_mean_all,refusal_rate,15,-0.7118212425400307,0.002914328934716221,-0.830921597977948,0.0005860384346669732,12.520025953601492
26,refusal,llama3_1_8b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.23458896394697887,0.40002552555294235,-0.08395910541770363,0.7899261275138539,12.520025953601492
26,refusal,mistral_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.6087401807234569,0.016024953693128334,-0.7110774264684178,0.007760151729525767,12.520025953601492
26,refusal,qwen2_5_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.14154644749906742,0.6148280047444004,-0.201531909128967,0.5189169101697186,12.520025953601492
28,hall_given_value,gemma_7b_it,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.38203276954795445,0.1599540516323292,-0.09842822668523807,0.7643052482538448,11.720439658413092
28,hall_given_value,llama3_1_8b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.6955391640883402,0.003986868820201696,-0.729326149221571,0.005695050874410651,12.526546837428242
28,hall_given_value,mistral_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.5612774629902949,0.029477657596353575,-0.6280806582211099,0.02353058250625961,12.69061188080961
28,hall_given_value,qwen2_5_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.498821119197559,0.05838551605321855,-0.584704572651831,0.04028569632275552,12.523225627801526
28,refusal,gemma_7b_it,n_total,delta_cos_mean_all,refusal_rate,15,-0.7118212425400307,0.002914328934716221,-0.830921597977948,0.0005860384346669732,12.520025953601492
28,refusal,llama3_1_8b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.23458896394697887,0.40002552555294235,-0.08395910541770363,0.7899261275138539,12.520025953601492
28,refusal,mistral_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.6087401807234569,0.016024953693128334,-0.7110774264684178,0.007760151729525767,12.520025953601492
28,refusal,qwen2_5_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.14154644749906742,0.6148280047444004,-0.201531909128967,0.5189169101697186,12.520025953601492
29,hall_given_value,gemma_7b_it,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.38203276954795445,0.1599540516323292,-0.09842822668523807,0.7643052482538448,11.720439658413092
29,hall_given_value,llama3_1_8b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.6955391640883402,0.003986868820201696,-0.729326149221571,0.005695050874410651,12.526546837428242
29,hall_given_value,mistral_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.5612774629902949,0.029477657596353575,-0.6280806582211099,0.02353058250625961,12.69061188080961
29,hall_given_value,qwen2_5_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.498821119197559,0.05838551605321855,-0.584704572651831,0.04028569632275552,12.523225627801526
29,refusal,gemma_7b_it,n_total,delta_cos_mean_all,refusal_rate,15,-0.7118212425400307,0.002914328934716221,-0.830921597977948,0.0005860384346669732,12.520025953601492
29,refusal,llama3_1_8b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.23458896394697887,0.40002552555294235,-0.08395910541770363,0.7899261275138539,12.520025953601492
29,refusal,mistral_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.6087401807234569,0.016024953693128334,-0.7110774264684178,0.007760151729525767,12.520025953601492
29,refusal,qwen2_5_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.14154644749906742,0.6148280047444004,-0.201531909128967,0.5189169101697186,12.520025953601492
30,hall_given_value,gemma_7b_it,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.38203276954795445,0.1599540516323292,-0.09842822668523807,0.7643052482538448,11.720439658413092
30,hall_given_value,llama3_1_8b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.6955391640883402,0.003986868820201696,-0.729326149221571,0.005695050874410651,12.526546837428242
30,hall_given_value,mistral_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.5612774629902949,0.029477657596353575,-0.6280806582211099,0.02353058250625961,12.69061188080961
30,hall_given_value,qwen2_5_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.498821119197559,0.05838551605321855,-0.584704572651831,0.04028569632275552,12.523225627801526
30,refusal,gemma_7b_it,n_total,delta_cos_mean_all,refusal_rate,15,-0.7118212425400307,0.002914328934716221,-0.830921597977948,0.0005860384346669732,12.520025953601492
30,refusal,llama3_1_8b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.23458896394697887,0.40002552555294235,-0.08395910541770363,0.7899261275138539,12.520025953601492
30,refusal,mistral_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.6087401807234569,0.016024953693128334,-0.7110774264684178,0.007760151729525767,12.520025953601492
30,refusal,qwen2_5_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.14154644749906742,0.6148280047444004,-0.201531909128967,0.5189169101697186,12.520025953601492
31,hall_given_value,gemma_7b_it,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.38203276954795445,0.1599540516323292,-0.09842822668523807,0.7643052482538448,11.720439658413092
31,hall_given_value,llama3_1_8b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.6955391640883402,0.003986868820201696,-0.729326149221571,0.005695050874410651,12.526546837428242
31,hall_given_value,mistral_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.5612774629902949,0.029477657596353575,-0.6280806582211099,0.02353058250625961,12.69061188080961
31,hall_given_value,qwen2_5_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.498821119197559,0.05838551605321855,-0.584704572651831,0.04028569632275552,12.523225627801526
31,refusal,gemma_7b_it,n_total,delta_cos_mean_all,refusal_rate,15,-0.7118212425400307,0.002914328934716221,-0.830921597977948,0.0005860384346669732,12.520025953601492
31,refusal,llama3_1_8b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.23458896394697887,0.40002552555294235,-0.08395910541770363,0.7899261275138539,12.520025953601492
31,refusal,mistral_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.6087401807234569,0.016024953693128334,-0.7110774264684178,0.007760151729525767,12.520025953601492
31,refusal,qwen2_5_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.14154644749906742,0.6148280047444004,-0.201531909128967,0.5189169101697186,12.520025953601492
32,hall_given_value,gemma_7b_it,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.38203276954795445,0.1599540516323292,-0.09842822668523807,0.7643052482538448,11.720439658413092
32,hall_given_value,llama3_1_8b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.6955391640883402,0.003986868820201696,-0.729326149221571,0.005695050874410651,12.526546837428242
32,hall_given_value,mistral_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.5612774629902949,0.029477657596353575,-0.6280806582211099,0.02353058250625961,12.69061188080961
32,hall_given_value,qwen2_5_7b_instruct,n_value,delta_cos_mean_value,hall_rate_given_value,15,-0.498821119197559,0.05838551605321855,-0.584704572651831,0.04028569632275552,12.523225627801526
32,refusal,gemma_7b_it,n_total,delta_cos_mean_all,refusal_rate,15,-0.7118212425400307,0.002914328934716221,-0.830921597977948,0.0005860384346669732,12.520025953601492
32,refusal,llama3_1_8b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.23458896394697887,0.40002552555294235,-0.08395910541770363,0.7899261275138539,12.520025953601492
32,refusal,mistral_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.6087401807234569,0.016024953693128334,-0.7110774264684178,0.007760151729525767,12.520025953601492
32,refusal,qwen2_5_7b_instruct,n_total,delta_cos_mean_all,refusal_rate,15,-0.14154644749906742,0.6148280047444004,-0.201531909128967,0.5189169101697186,12.520025953601492
