model_key,relation_key,n_total,n_refusal,n_correct,n_hallucination,n_other,hall_rate_answered,hall_rate_unknown,cos_improvement
gemma_7b_it,company_ceo,298,55,76,167,0,0.6872427983539094,0.7522522522522522,0.440256655216217
gemma_7b_it,company_hq,674,109,292,273,0,0.4831858407079646,0.7146596858638743,0.6451538801193237
gemma_7b_it,landmark_in_country,836,51,509,276,0,0.351592356687898,0.8440366972477065,0.7504284977912903
gemma_7b_it,landmark_on_continent,947,29,324,594,0,0.6470588235294118,0.9534510433386838,0.7937562465667725
gemma_7b_it,object_superclass,76,0,60,16,0,0.2105263157894736,1.0,0.7768006920814514
gemma_7b_it,occupation_age,45,0,28,17,0,0.3777777777777777,1.0,0.7480821013450623
gemma_7b_it,person_father,991,791,74,126,0,0.63,0.1374045801526717,0.4925845563411712
gemma_7b_it,person_mother,994,806,63,125,0,0.6648936170212766,0.1342642320085929,0.4662140309810638
gemma_7b_it,person_native_language,919,19,674,226,0,0.2511111111111111,0.9224489795918368,0.7857848405838013
gemma_7b_it,person_occupation,821,62,183,576,0,0.758893280632411,0.90282131661442,0.7704323530197144
gemma_7b_it,person_plays_instrument,513,1,227,285,0,0.556640625,0.9965034965034965,0.8002230525016785
gemma_7b_it,person_plays_position_in_sport,952,11,260,681,0,0.7236981934112646,0.9841040462427746,0.7599608302116394
gemma_7b_it,person_plays_pro_sport,318,0,259,59,0,0.1855345911949685,1.0,0.7855781316757202
gemma_7b_it,person_university,91,0,27,64,0,0.7032967032967034,1.0,0.6384598612785339
gemma_7b_it,product_by_company,522,2,326,194,0,0.3730769230769231,0.9897959183673468,0.6393634676933289
gemma_7b_it,star_constellation,362,0,243,119,0,0.3287292817679558,1.0,0.6581429839134216
gemma_7b_it,substance_phase,50,0,44,6,0,0.12,1.0,0.7931289672851562
gemma_7b_it,superhero_archnemesis,96,0,18,78,0,0.8125,1.0,0.4780444800853729
gemma_7b_it,superhero_person,100,3,40,57,0,0.5876288659793815,0.95,0.5184692144393921
gemma_7b_it,task_done_by_tool,52,0,31,21,0,0.4038461538461538,1.0,0.5854924917221069
gemma_7b_it,word_sentiment,60,0,55,5,0,0.0833333333333333,1.0,0.8014899492263794
llama3_1_8b_instruct,company_ceo,298,29,137,132,0,0.4907063197026022,0.8198757763975155,0.5657310485839844
llama3_1_8b_instruct,company_hq,674,56,447,171,0,0.2766990291262136,0.7533039647577092,0.7038267850875854
llama3_1_8b_instruct,landmark_in_country,836,5,739,92,0,0.1107099879663056,0.9484536082474226,0.7424097657203674
llama3_1_8b_instruct,landmark_on_continent,947,21,736,190,0,0.2051835853131749,0.9004739336492891,0.777496874332428
llama3_1_8b_instruct,object_superclass,76,0,57,19,0,0.25,1.0,0.7631425261497498
llama3_1_8b_instruct,occupation_age,45,0,24,21,0,0.4666666666666667,1.0,0.7461028099060059
llama3_1_8b_instruct,person_father,991,14,543,434,0,0.4442169907881269,0.96875,0.5182269811630249
llama3_1_8b_instruct,person_mother,994,19,363,612,0,0.6276923076923077,0.9698890649762282,0.4936686158180237
llama3_1_8b_instruct,person_native_language,919,4,772,143,0,0.1562841530054644,0.9727891156462584,0.8160816431045532
llama3_1_8b_instruct,person_occupation,821,9,495,317,0,0.3903940886699507,0.97239263803681,0.7737686634063721
llama3_1_8b_instruct,person_plays_instrument,513,22,312,179,0,0.3645621181262729,0.8905472636815921,0.7849685549736023
llama3_1_8b_instruct,person_plays_position_in_sport,952,79,717,156,0,0.1786941580756013,0.6638297872340425,0.7718902230262756
llama3_1_8b_instruct,person_plays_pro_sport,318,2,298,18,0,0.0569620253164556,0.9,0.7754021883010864
llama3_1_8b_instruct,person_university,91,0,35,56,0,0.6153846153846154,1.0,0.6718930602073669
llama3_1_8b_instruct,product_by_company,522,4,411,107,0,0.2065637065637065,0.963963963963964,0.6758498549461365
llama3_1_8b_instruct,star_constellation,362,1,278,83,0,0.2299168975069252,0.988095238095238,0.6618081331253052
llama3_1_8b_instruct,substance_phase,50,0,48,2,0,0.04,1.0,0.7807378172874451
llama3_1_8b_instruct,superhero_archnemesis,96,0,38,58,0,0.6041666666666666,1.0,0.5370672941207886
llama3_1_8b_instruct,superhero_person,100,5,59,36,0,0.3789473684210526,0.8780487804878049,0.6031407713890076
llama3_1_8b_instruct,task_done_by_tool,52,0,29,23,0,0.4423076923076923,1.0,0.5915794372558594
llama3_1_8b_instruct,word_sentiment,60,0,59,1,0,0.0166666666666666,1.0,0.8026292324066162
mistral_7b_instruct,company_ceo,298,22,168,108,0,0.391304347826087,0.8307692307692308,0.4673483371734619
mistral_7b_instruct,company_hq,674,29,452,193,0,0.2992248062015504,0.8693693693693694,0.6031975150108337
mistral_7b_instruct,landmark_in_country,836,11,714,111,0,0.1345454545454545,0.9098360655737704,0.6936495304107666
mistral_7b_instruct,landmark_on_continent,947,28,584,335,0,0.3645266594124048,0.9228650137741048,0.695581316947937
mistral_7b_instruct,object_superclass,76,0,49,27,0,0.3552631578947368,1.0,0.7747995257377625
mistral_7b_instruct,occupation_age,45,12,11,22,0,0.6666666666666666,0.6470588235294118,0.7538377642631531
mistral_7b_instruct,person_father,991,57,445,489,0,0.5235546038543897,0.8956043956043956,0.4101126194000244
mistral_7b_instruct,person_mother,994,130,293,571,0,0.6608796296296297,0.8145506419400856,0.3719995021820068
mistral_7b_instruct,person_native_language,919,21,809,89,0,0.099109131403118,0.8090909090909091,0.8009238839149475
mistral_7b_instruct,person_occupation,821,44,395,382,0,0.4916344916344916,0.8967136150234741,0.7168744206428528
mistral_7b_instruct,person_plays_instrument,513,34,274,205,0,0.4279749478079332,0.8577405857740585,0.7266291975975037
mistral_7b_instruct,person_plays_position_in_sport,952,76,530,346,0,0.3949771689497717,0.8199052132701422,0.6774721145629883
mistral_7b_instruct,person_plays_pro_sport,318,5,288,25,0,0.0798722044728434,0.8333333333333334,0.7796016931533813
