model_key,relation,total,refusal,hallucination,other,refusal_rate,refusal_ci_low,refusal_ci_high,halluc_rate,halluc_ci_low,halluc_ci_high,model_id,num_layers,subject_layer,object_layer,n_total,n_train,n_test,cos_mean,cos_std,base_cos_mean,base_cos_std,cos_improvement,mse
gemma_7b_it,father,1000,1000,0,0,1.0,0.9961731014136095,1.0,0.0,0.0,0.003826898586390522,google/gemma-7b-it,28,14,26,991.0,743.0,248.0,0.7812849283218384,0.1112504824995994,0.1767340749502182,0.0384316891431808,0.604550838470459,0.2328006327152252
gemma_7b_it,instrument,1000,0,1000,0,0.0,0.0,0.003826898586390522,1.0,0.9961731014136095,1.0,google/gemma-7b-it,28,14,26,513.0,384.0,129.0,0.9343382716178894,0.0269001647830009,0.1233600676059722,0.0174178462475538,0.8109781742095947,0.0901243984699249
gemma_7b_it,sport,1000,11,989,0,0.011,0.006153110089114165,0.01958959672837577,0.989,0.9804104032716243,0.9938468899108859,google/gemma-7b-it,28,14,26,318.0,238.0,80.0,0.9331026077270508,0.0140315378084778,0.1437279284000396,0.0198252387344837,0.7893747091293335,0.0849901214241981
gemma_7b_it,company_ceo,1000,994,6,0,0.994,0.9869716557675544,0.9972473684290918,0.006,0.0027526315709082315,0.013028344232445605,google/gemma-7b-it,28,14,26,298.0,223.0,75.0,0.6114072799682617,0.0519294962286949,0.1711395829916,0.0288283340632915,0.4402676820755005,0.1703556925058365
gemma_7b_it,company_hq,1000,83,917,0,0.083,0.06745476337992819,0.10173687004112154,0.917,0.8982631299588786,0.9325452366200719,google/gemma-7b-it,28,14,26,674.0,505.0,169.0,0.8083242177963257,0.0773145109415054,0.1388147622346878,0.0272097084671258,0.6695094704627991,0.2060002386569976
gemma_7b_it,country_language,1000,672,328,0,0.672,0.64229107739265,0.7003924694936319,0.328,0.2996075305063683,0.35770892260735015,google/gemma-7b-it,28,14,26,24.0,18.0,6.0,0.9080467224121094,0.0225897226482629,0.1712598204612732,0.0327820666134357,0.7367869019508362,0.1261823922395706
llama3_1_8b_instruct,father,1000,879,121,0,0.879,0.8573226741029558,0.8977765367685602,0.121,0.1022234632314399,0.14267732589704413,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,991.0,743.0,248.0,0.6734901070594788,0.0899646654725074,0.1622463762760162,0.0300698280334472,0.5112437009811401,0.2004642188549041
llama3_1_8b_instruct,instrument,1000,545,455,0,0.545,0.5140218675128997,0.5756337116143252,0.455,0.42436628838567486,0.48597813248710037,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,513.0,384.0,129.0,0.9054374098777772,0.0238828901201486,0.108523815870285,0.0177130904048681,0.7969136238098145,0.0963687300682067
llama3_1_8b_instruct,sport,1000,452,548,0,0.452,0.4213950371393751,0.4829723451249185,0.548,0.5170276548750816,0.5786049628606249,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,318.0,238.0,80.0,0.909494698047638,0.0134039241820573,0.1265950053930282,0.019883707165718,0.7828996777534485,0.0894901379942894
llama3_1_8b_instruct,company_ceo,1000,974,26,0,0.974,0.9621759154980226,0.9821961846420791,0.026,0.01780381535792082,0.0378240845019774,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,298.0,223.0,75.0,0.7361354231834412,0.0489362552762031,0.1704674959182739,0.0276292338967323,0.5656679272651672,0.0833201929926872
llama3_1_8b_instruct,company_hq,1000,545,455,0,0.545,0.5140218675128997,0.5756337116143252,0.455,0.42436628838567486,0.48597813248710037,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,674.0,505.0,169.0,0.8494974374771118,0.0532563105225563,0.1430463045835495,0.0232319235801696,0.7064511179924011,0.1380666494369506
llama3_1_8b_instruct,country_language,1000,876,124,0,0.876,0.8541218223197016,0.8950003499433328,0.124,0.10499965005666721,0.14587817768029848,meta-llama/Meta-Llama-3.1-8B-Instruct,32,16,30,24.0,18.0,6.0,0.9187452793121338,0.0200657173991203,0.2154997587203979,0.0313874334096908,0.7032455205917358,0.0806534960865974
mistral_7b_instruct,father,1000,943,57,0,0.943,0.9268626022720123,0.9557467655804457,0.057,0.04425323441955428,0.07313739772798773,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,991.0,743.0,248.0,0.5515915155410767,0.0930014848709106,0.1385264545679092,0.0328190773725509,0.4130650758743286,0.0884368121623992
mistral_7b_instruct,instrument,1000,78,922,0,0.078,0.0629469187422331,0.09628298366468052,0.922,0.9037170163353195,0.937053081257767,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,513.0,384.0,129.0,0.8621261119842529,0.0487534292042255,0.1378753781318664,0.0209016632288694,0.7242507338523865,0.0387812182307243
mistral_7b_instruct,sport,1000,99,901,0,0.099,0.08199515586127223,0.119074016805013,0.901,0.8809259831949872,0.9180048441387278,mistralai/Mistral-7B-Instruct-v0.3,32,16,30,318.0,238.0,80.0,0.9149094820022584,0.0254405848681926,0.1345735937356948,0.0195708107203245,0.7803359031677246,0.0259192828088998
