model_key,relation,total,refusal,hallucination,other,refusal_rate,refusal_ci_low,refusal_ci_high,halluc_rate,halluc_ci_low,halluc_ci_high
gemma_7b_it,father,1000,1000,0,0,1.0,0.9961731014136095,1.0,0.0,0.0,0.003826898586390522
gemma_7b_it,instrument,1000,0,1000,0,0.0,0.0,0.003826898586390522,1.0,0.9961731014136095,1.0
gemma_7b_it,sport,1000,11,989,0,0.011,0.006153110089114165,0.01958959672837577,0.989,0.9804104032716243,0.9938468899108859
gemma_7b_it,company_ceo,1000,994,6,0,0.994,0.9869716557675544,0.9972473684290918,0.006,0.0027526315709082315,0.013028344232445605
gemma_7b_it,company_hq,1000,83,917,0,0.083,0.06745476337992819,0.10173687004112154,0.917,0.8982631299588786,0.9325452366200719
gemma_7b_it,country_language,1000,672,328,0,0.672,0.64229107739265,0.7003924694936319,0.328,0.2996075305063683,0.35770892260735015
llama3_1_8b_instruct,father,1000,879,121,0,0.879,0.8573226741029558,0.8977765367685602,0.121,0.1022234632314399,0.14267732589704413
llama3_1_8b_instruct,instrument,1000,545,455,0,0.545,0.5140218675128997,0.5756337116143252,0.455,0.42436628838567486,0.48597813248710037
llama3_1_8b_instruct,sport,1000,452,548,0,0.452,0.4213950371393751,0.4829723451249185,0.548,0.5170276548750816,0.5786049628606249
llama3_1_8b_instruct,company_ceo,1000,974,26,0,0.974,0.9621759154980226,0.9821961846420791,0.026,0.01780381535792082,0.0378240845019774
llama3_1_8b_instruct,company_hq,1000,545,455,0,0.545,0.5140218675128997,0.5756337116143252,0.455,0.42436628838567486,0.48597813248710037
llama3_1_8b_instruct,country_language,1000,876,124,0,0.876,0.8541218223197016,0.8950003499433328,0.124,0.10499965005666721,0.14587817768029848
mistral_7b_instruct,father,1000,943,57,0,0.943,0.9268626022720123,0.9557467655804457,0.057,0.04425323441955428,0.07313739772798773
mistral_7b_instruct,instrument,1000,78,922,0,0.078,0.0629469187422331,0.09628298366468052,0.922,0.9037170163353195,0.937053081257767
mistral_7b_instruct,sport,1000,99,901,0,0.099,0.08199515586127223,0.119074016805013,0.901,0.8809259831949872,0.9180048441387278
mistral_7b_instruct,company_ceo,1000,933,67,0,0.933,0.9157875981239373,0.9468983077002487,0.067,0.05310169229975138,0.08421240187606284
mistral_7b_instruct,company_hq,1000,19,981,0,0.019,0.012196787737404147,0.029484688702703543,0.981,0.9705153112972965,0.9878032122625958
mistral_7b_instruct,country_language,1000,626,374,0,0.626,0.5955811892071059,0.6554544323491238,0.374,0.34454556765087635,0.40441881079289416
qwen2_5_7b_instruct,father,1000,562,438,0,0.562,0.5310695678304088,0.5924558967448789,0.438,0.4075441032551213,0.46893043216959124
qwen2_5_7b_instruct,instrument,1000,0,1000,0,0.0,0.0,0.003826898586390522,1.0,0.9961731014136095,1.0
qwen2_5_7b_instruct,sport,1000,1,999,0,0.001,0.0001765418290572713,0.0056427029601604705,0.999,0.9943572970398398,0.9998234581709429
qwen2_5_7b_instruct,company_ceo,1000,725,275,0,0.725,0.696503294821948,0.7517746008141762,0.275,0.24822539918582381,0.303496705178052
qwen2_5_7b_instruct,company_hq,1000,23,977,0,0.023,0.015374164302931469,0.0342766969484851,0.977,0.9657233030515149,0.9846258356970685
qwen2_5_7b_instruct,country_language,1000,486,514,0,0.486,0.4551346916565153,0.5169724615039037,0.514,0.48302753849609636,0.5448653083434848
