model_name,relation_key,relation_group,n,hall,ref,hall_rate,lre_n,delta_cos,n_hall_proxy,top1,entropy,n_unique_hall_answers
gemma_7b_it,company_ceo,factual,200,14,186,0.07,62,0.4411473264617304,14,0.07142857142857142,0.9999999999999998,14
gemma_7b_it,company_hq,factual,200,77,123,0.385,145,0.6456495455626784,77,0.012987012987012988,1.0000000000000004,77
gemma_7b_it,landmark_in_country,factual,200,163,37,0.815,184,0.7511632251350776,163,0.012269938650306749,0.9995378941936797,162
gemma_7b_it,landmark_on_continent,factual,200,173,27,0.865,214,0.7918879331272339,173,0.017341040462427744,0.9985562956281323,171
gemma_7b_it,person_father,factual,200,8,192,0.04,41,0.4758184879291348,8,0.125,1.0,8
gemma_7b_it,person_mother,factual,200,0,200,0.0,43,0.4346362012763356,0,0.0,0.0,0
gemma_7b_it,person_occupation,factual,200,107,93,0.535,174,0.7709846404092066,107,0.009345794392523364,1.0000000000000007,107
gemma_7b_it,person_plays_instrument,factual,200,199,1,0.995,129,0.8002230677493783,199,0.010050251256281407,0.9996353230120454,198
gemma_7b_it,person_plays_position_in_sport,factual,200,197,3,0.985,237,0.7598226052799305,197,0.01015228426395939,0.999630936834059,196
gemma_7b_it,person_plays_pro_sport,factual,200,195,5,0.975,80,0.7855781681835652,195,0.010256410256410256,0.9996264511511017,194
gemma_7b_it,person_university,factual,200,29,171,0.145,23,0.6384599027426346,29,0.034482758620689655,0.9999999999999996,29
gemma_7b_it,product_by_company,factual,200,182,18,0.91,131,0.6393634699683153,182,0.005494505494505495,0.9999999999999998,182
gemma_7b_it,star_constellation,factual,200,193,7,0.965,91,0.6581429557485895,193,0.0051813471502590676,1.0,193
gemma_7b_it,superhero_archnemesis,factual,196,196,0,1.0,24,0.4780444862941901,196,0.05612244897959184,0.9680908017586646,163
gemma_7b_it,superhero_person,factual,197,166,31,0.8426395939086294,24,0.5257179078956445,166,0.012048192771084338,0.9935604494344965,150
llama3_1_8b_instruct,company_ceo,factual,200,1,199,0.005,69,0.5705431682476099,1,1.0,0.0,1
llama3_1_8b_instruct,company_hq,factual,200,2,198,0.01,158,0.7023719654807562,2,0.5,1.0,2
llama3_1_8b_instruct,landmark_in_country,factual,200,154,46,0.77,209,0.7424097494645552,154,0.16883116883116883,0.8769233784350461,63
llama3_1_8b_instruct,landmark_on_continent,factual,200,121,79,0.605,233,0.7769777232485268,121,0.7520661157024794,0.42426401914211576,12
llama3_1_8b_instruct,person_father,factual,200,5,195,0.025,243,0.5170223538767654,5,0.2,1.0000000000000002,5
llama3_1_8b_instruct,person_mother,factual,200,5,195,0.025,242,0.4916516287514001,5,0.2,1.0000000000000002,5
llama3_1_8b_instruct,person_occupation,factual,200,141,59,0.705,203,0.7733924990804325,141,0.04964539007092199,0.957130589771105,102
llama3_1_8b_instruct,person_plays_instrument,factual,200,65,135,0.325,124,0.7847246739172167,65,0.1076923076923077,0.9323628255996256,34
llama3_1_8b_instruct,person_plays_position_in_sport,factual,200,24,176,0.12,219,0.7715301559940321,24,0.125,0.979780931241327,21
llama3_1_8b_instruct,person_plays_pro_sport,factual,200,36,164,0.18,79,0.7752447777156588,36,0.2777777777777778,0.8460263600993877,17
llama3_1_8b_instruct,person_university,factual,200,18,182,0.09,23,0.6718930887139362,18,0.1111111111111111,0.9869256948050227,16
llama3_1_8b_instruct,product_by_company,factual,200,31,169,0.155,131,0.6758497992089687,31,0.03225806451612903,1.0,31
llama3_1_8b_instruct,star_constellation,factual,200,5,195,0.025,90,0.6619110471672482,5,0.4,0.9602297178607612,3
llama3_1_8b_instruct,superhero_archnemesis,factual,196,0,196,0.0,24,0.5370672605931759,0,0.0,0.0,0
llama3_1_8b_instruct,superhero_person,factual,197,6,191,0.0304568527918781,23,0.6012543025224105,6,0.16666666666666666,0.9999999999999999,6
mistral_7b_instruct,company_ceo,factual,200,8,192,0.04,73,0.4685228038324068,8,0.125,1.0,8
mistral_7b_instruct,company_hq,factual,200,175,25,0.875,164,0.6007252886164479,175,0.011428571428571429,0.9987423883386908,172
mistral_7b_instruct,landmark_in_country,factual,200,169,31,0.845,203,0.693946732676088,169,0.029585798816568046,0.9937155449738689,161
mistral_7b_instruct,landmark_on_continent,factual,200,125,75,0.625,226,0.6940462817396738,125,0.224,0.8866156471893899,95
mistral_7b_instruct,person_father,factual,200,12,188,0.06,231,0.4091044268953852,12,0.08333333333333333,1.0000000000000002,12
mistral_7b_instruct,person_mother,factual,200,9,191,0.045,220,0.3720565555447881,9,0.1111111111111111,1.0,9
mistral_7b_instruct,person_occupation,factual,200,93,107,0.465,195,0.7148982685345869,93,0.010752688172043012,1.0,93
mistral_7b_instruct,person_plays_instrument,factual,200,194,6,0.97,128,0.7274604816921055,194,0.030927835051546393,0.9921534543749937,184
mistral_7b_instruct,person_plays_position_in_sport,factual,200,130,70,0.65,230,0.6771631183831588,130,0.015384615384615385,0.9987997974656037,128
mistral_7b_instruct,person_plays_pro_sport,factual,200,176,24,0.88,80,0.7796016797423363,176,0.011363636363636364,0.9987507757205916,173
mistral_7b_instruct,person_university,factual,200,31,169,0.155,23,0.5620396137237549,31,0.03225806451612903,1.0,31
mistral_7b_instruct,product_by_company,factual,200,170,30,0.85,131,0.6057104635557146,170,0.0058823529411764705,0.9999999999999997,170
mistral_7b_instruct,star_constellation,factual,200,77,123,0.385,90,0.5739775581492318,77,0.2727272727272727,0.8382277439882648,42
mistral_7b_instruct,superhero_archnemesis,factual,196,58,138,0.2959183673469387,24,0.4502605733772118,58,0.034482758620689655,0.9968420314553611,56
mistral_7b_instruct,superhero_person,factual,197,12,185,0.0609137055837563,25,0.5346372234821319,12,0.08333333333333333,1.0000000000000002,12
qwen2_5_7b_instruct,company_ceo,factual,200,90,110,0.45,75,0.4445355109373728,90,0.03333333333333333,0.9934006251715506,84
qwen2_5_7b_instruct,company_hq,factual,200,195,5,0.975,166,0.5031975351543312,195,0.14358974358974358,0.8598604548278218,53
qwen2_5_7b_instruct,landmark_in_country,factual,200,198,2,0.99,209,0.5782972803811708,198,0.1919191919191919,0.8247757043018618,61
qwen2_5_7b_instruct,landmark_on_continent,factual,200,197,3,0.985,235,0.59699471998722,197,0.6548223350253807,0.5032762441522249,8
qwen2_5_7b_instruct,person_father,factual,200,177,23,0.885,247,0.4224513489225133,177,0.011299435028248588,0.9991673257256161,175
qwen2_5_7b_instruct,person_mother,factual,200,152,48,0.76,248,0.4031273375355428,152,0.013157894736842105,0.9994978008623108,151
qwen2_5_7b_instruct,person_occupation,factual,200,198,2,0.99,206,0.5990813655181996,198,0.16666666666666666,0.8157656628496007,76
qwen2_5_7b_instruct,person_plays_instrument,factual,200,200,0,1.0,128,0.6304924571886659,200,0.2,0.7509093617840564,30
qwen2_5_7b_instruct,person_plays_position_in_sport,factual,200,177,23,0.885,238,0.6116463662195606,177,0.5310734463276836,0.5141594542863785,22
qwen2_5_7b_instruct,person_plays_pro_sport,factual,200,200,0,1.0,80,0.6171863228082657,200,0.3,0.6936804880767298,23
qwen2_5_7b_instruct,person_university,factual,200,197,3,0.985,23,0.4944808988467506,197,0.22842639593908629,0.8077177431113269,63
qwen2_5_7b_instruct,product_by_company,factual,200,192,8,0.96,131,0.5147430717035104,192,0.057291666666666664,0.9783881262460064,169
qwen2_5_7b_instruct,star_constellation,factual,200,161,39,0.805,91,0.5013437074619335,161,0.18633540372670807,0.7565651883185303,23
qwen2_5_7b_instruct,superhero_archnemesis,factual,196,91,105,0.4642857142857143,24,0.4588209067781766,91,0.054945054945054944,0.9648765993016728,67
qwen2_5_7b_instruct,superhero_person,factual,197,182,15,0.9238578680203046,25,0.481614476442337,182,0.016483516483516484,0.9918075915040148,162
