relation_key,n,hall,ref,other,hall_rate,delta_cos_mean_test
company_ceo,200,63,137,0,0.315,0.697880744934082
company_hq,200,144,56,0,0.72,0.6749656796455383
landmark_in_country,200,200,0,0,1.0,0.7853960394859314
landmark_on_continent,200,200,0,0,1.0,0.8379642963409424
person_father,200,19,181,0,0.095,0.6664051413536072
person_mother,200,8,192,0,0.04,0.6536428332328796
person_occupation,200,194,6,0,0.97,0.7722148895263672
person_plays_instrument,200,200,0,0,1.0,0.7530602812767029
person_plays_position_in_sport,200,199,1,0,0.995,0.8202254772186279
person_plays_pro_sport,200,192,8,0,0.96,0.8047305345535278
person_university,200,141,59,0,0.705,0.7202293276786804
product_by_company,200,190,10,0,0.95,0.7435346841812134
star_constellation,200,65,135,0,0.325,0.7460422515869141
superhero_archnemesis,200,5,195,0,0.025,0.6707807183265686
superhero_person,200,104,96,0,0.52,0.7155431509017944
