model_key,relation_key,cos_improvement,relation_group,n_triples,n_unique_targets,target_density,relation_group_from_prompts
gemma_7b_it,company_ceo,0.4411473264617304,factual,298,287,0.9630872483221476,factual
gemma_7b_it,company_hq,0.6456495455626784,factual,674,163,0.24183976261127596,factual
gemma_7b_it,landmark_in_country,0.7511632251350776,factual,836,91,0.10885167464114832,factual
gemma_7b_it,landmark_on_continent,0.7918879331272339,factual,947,5,0.005279831045406547,factual
gemma_7b_it,person_father,0.4758184879291348,factual,991,968,0.9767911200807265,factual
gemma_7b_it,person_mother,0.4346362012763356,factual,994,962,0.9678068410462777,factual
gemma_7b_it,person_occupation,0.7709846404092066,factual,821,31,0.037758830694275276,factual
gemma_7b_it,person_plays_instrument,0.8002230677493783,factual,513,6,0.011695906432748537,factual
gemma_7b_it,person_plays_position_in_sport,0.7598226052799305,factual,952,14,0.014705882352941176,factual
gemma_7b_it,person_plays_pro_sport,0.7855781681835652,factual,318,5,0.015723270440251572,factual
gemma_7b_it,person_university,0.6384599027426346,factual,91,69,0.7582417582417582,factual
gemma_7b_it,product_by_company,0.6393634699683153,factual,522,30,0.05747126436781609,factual
gemma_7b_it,star_constellation,0.6581429557485895,factual,362,31,0.0856353591160221,factual
gemma_7b_it,superhero_archnemesis,0.4780444862941901,factual,96,90,0.9375,factual
gemma_7b_it,superhero_person,0.5257179078956445,factual,100,100,1.0,factual
llama3_1_8b_instruct,company_ceo,0.5705431682476099,factual,298,287,0.9630872483221476,factual
llama3_1_8b_instruct,company_hq,0.7023719654807562,factual,674,163,0.24183976261127596,factual
llama3_1_8b_instruct,landmark_in_country,0.7424097494645552,factual,836,91,0.10885167464114832,factual
llama3_1_8b_instruct,landmark_on_continent,0.7769777232485268,factual,947,5,0.005279831045406547,factual
llama3_1_8b_instruct,person_father,0.5170223538767654,factual,991,968,0.9767911200807265,factual
llama3_1_8b_instruct,person_mother,0.4916516287514001,factual,994,962,0.9678068410462777,factual
llama3_1_8b_instruct,person_occupation,0.7733924990804325,factual,821,31,0.037758830694275276,factual
llama3_1_8b_instruct,person_plays_instrument,0.7847246739172167,factual,513,6,0.011695906432748537,factual
llama3_1_8b_instruct,person_plays_position_in_sport,0.7715301559940321,factual,952,14,0.014705882352941176,factual
llama3_1_8b_instruct,person_plays_pro_sport,0.7752447777156588,factual,318,5,0.015723270440251572,factual
llama3_1_8b_instruct,person_university,0.6718930887139362,factual,91,69,0.7582417582417582,factual
llama3_1_8b_instruct,product_by_company,0.6758497992089687,factual,522,30,0.05747126436781609,factual
llama3_1_8b_instruct,star_constellation,0.6619110471672482,factual,362,31,0.0856353591160221,factual
llama3_1_8b_instruct,superhero_archnemesis,0.5370672605931759,factual,96,90,0.9375,factual
llama3_1_8b_instruct,superhero_person,0.6012543025224105,factual,100,100,1.0,factual
mistral_7b_instruct,company_ceo,0.4685228038324068,factual,298,287,0.9630872483221476,factual
mistral_7b_instruct,company_hq,0.6007252886164479,factual,674,163,0.24183976261127596,factual
mistral_7b_instruct,landmark_in_country,0.693946732676088,factual,836,91,0.10885167464114832,factual
mistral_7b_instruct,landmark_on_continent,0.6940462817396738,factual,947,5,0.005279831045406547,factual
mistral_7b_instruct,person_father,0.4091044268953852,factual,991,968,0.9767911200807265,factual
mistral_7b_instruct,person_mother,0.3720565555447881,factual,994,962,0.9678068410462777,factual
mistral_7b_instruct,person_occupation,0.7148982685345869,factual,821,31,0.037758830694275276,factual
mistral_7b_instruct,person_plays_instrument,0.7274604816921055,factual,513,6,0.011695906432748537,factual
mistral_7b_instruct,person_plays_position_in_sport,0.6771631183831588,factual,952,14,0.014705882352941176,factual
mistral_7b_instruct,person_plays_pro_sport,0.7796016797423363,factual,318,5,0.015723270440251572,factual
mistral_7b_instruct,person_university,0.5620396137237549,factual,91,69,0.7582417582417582,factual
mistral_7b_instruct,product_by_company,0.6057104635557146,factual,522,30,0.05747126436781609,factual
mistral_7b_instruct,star_constellation,0.5739775581492318,factual,362,31,0.0856353591160221,factual
mistral_7b_instruct,superhero_archnemesis,0.4502605733772118,factual,96,90,0.9375,factual
mistral_7b_instruct,superhero_person,0.5346372234821319,factual,100,100,1.0,factual
qwen2_5_7b_instruct,company_ceo,0.4445355109373728,factual,298,287,0.9630872483221476,factual
qwen2_5_7b_instruct,company_hq,0.5031975351543312,factual,674,163,0.24183976261127596,factual
qwen2_5_7b_instruct,landmark_in_country,0.5782972803811708,factual,836,91,0.10885167464114832,factual
qwen2_5_7b_instruct,landmark_on_continent,0.59699471998722,factual,947,5,0.005279831045406547,factual
qwen2_5_7b_instruct,person_father,0.4224513489225133,factual,991,968,0.9767911200807265,factual
qwen2_5_7b_instruct,person_mother,0.4031273375355428,factual,994,962,0.9678068410462777,factual
qwen2_5_7b_instruct,person_occupation,0.5990813655181996,factual,821,31,0.037758830694275276,factual
qwen2_5_7b_instruct,person_plays_instrument,0.6304924571886659,factual,513,6,0.011695906432748537,factual
qwen2_5_7b_instruct,person_plays_position_in_sport,0.6116463662195606,factual,952,14,0.014705882352941176,factual
qwen2_5_7b_instruct,person_plays_pro_sport,0.6171863228082657,factual,318,5,0.015723270440251572,factual
qwen2_5_7b_instruct,person_university,0.4944808988467506,factual,91,69,0.7582417582417582,factual
qwen2_5_7b_instruct,product_by_company,0.5147430717035104,factual,522,30,0.05747126436781609,factual
qwen2_5_7b_instruct,star_constellation,0.5013437074619335,factual,362,31,0.0856353591160221,factual
qwen2_5_7b_instruct,superhero_archnemesis,0.4588209067781766,factual,96,90,0.9375,factual
qwen2_5_7b_instruct,superhero_person,0.481614476442337,factual,100,100,1.0,factual
