model_name,relation,n,hall,ref,hall_rate,relation_group,lre_n,delta_cos
gemma_7b_it,company_ceo,200,14,186,0.07,factual,62,0.4411473264617304
gemma_7b_it,company_hq,200,77,123,0.385,factual,145,0.6456495455626784
gemma_7b_it,landmark_in_country,200,163,37,0.815,factual,184,0.7511632251350776
gemma_7b_it,landmark_on_continent,200,173,27,0.865,factual,214,0.7918879331272339
gemma_7b_it,person_father,200,8,192,0.04,factual,41,0.4758184879291348
gemma_7b_it,person_mother,200,0,200,0.0,factual,43,0.4346362012763356
gemma_7b_it,person_occupation,200,107,93,0.535,factual,174,0.7709846404092066
gemma_7b_it,person_plays_instrument,200,199,1,0.995,factual,129,0.8002230677493783
gemma_7b_it,person_plays_position_in_sport,200,197,3,0.985,factual,237,0.7598226052799305
gemma_7b_it,person_plays_pro_sport,200,195,5,0.975,factual,80,0.7855781681835652
gemma_7b_it,person_university,200,29,171,0.145,factual,23,0.6384599027426346
gemma_7b_it,product_by_company,200,182,18,0.91,factual,131,0.6393634699683153
gemma_7b_it,star_constellation,200,193,7,0.965,factual,91,0.6581429557485895
gemma_7b_it,superhero_archnemesis,200,200,0,1.0,factual,24,0.4780444862941901
gemma_7b_it,superhero_person,200,169,31,0.845,factual,24,0.5257179078956445
llama3_1_8b_instruct,company_ceo,200,1,199,0.005,factual,69,0.5705431682476099
llama3_1_8b_instruct,company_hq,200,2,198,0.01,factual,158,0.7023719654807562
llama3_1_8b_instruct,landmark_in_country,200,154,46,0.77,factual,209,0.7424097494645552
llama3_1_8b_instruct,landmark_on_continent,200,121,79,0.605,factual,233,0.7769777232485268
llama3_1_8b_instruct,person_father,200,5,195,0.025,factual,243,0.5170223538767654
llama3_1_8b_instruct,person_mother,200,5,195,0.025,factual,242,0.4916516287514001
llama3_1_8b_instruct,person_occupation,200,141,59,0.705,factual,203,0.7733924990804325
llama3_1_8b_instruct,person_plays_instrument,200,65,135,0.325,factual,124,0.7847246739172167
llama3_1_8b_instruct,person_plays_position_in_sport,200,24,176,0.12,factual,219,0.7715301559940321
llama3_1_8b_instruct,person_plays_pro_sport,200,36,164,0.18,factual,79,0.7752447777156588
llama3_1_8b_instruct,person_university,200,18,182,0.09,factual,23,0.6718930887139362
llama3_1_8b_instruct,product_by_company,200,31,169,0.155,factual,131,0.6758497992089687
llama3_1_8b_instruct,star_constellation,200,5,195,0.025,factual,90,0.6619110471672482
llama3_1_8b_instruct,superhero_archnemesis,200,0,200,0.0,factual,24,0.5370672605931759
llama3_1_8b_instruct,superhero_person,200,6,194,0.03,factual,23,0.6012543025224105
mistral_7b_instruct,company_ceo,200,8,192,0.04,factual,73,0.4685228038324068
mistral_7b_instruct,company_hq,200,175,25,0.875,factual,164,0.6007252886164479
mistral_7b_instruct,landmark_in_country,200,169,31,0.845,factual,203,0.693946732676088
mistral_7b_instruct,landmark_on_continent,200,125,75,0.625,factual,226,0.6940462817396738
mistral_7b_instruct,person_father,200,12,188,0.06,factual,231,0.4091044268953852
mistral_7b_instruct,person_mother,200,9,191,0.045,factual,220,0.3720565555447881
mistral_7b_instruct,person_occupation,200,93,107,0.465,factual,195,0.7148982685345869
mistral_7b_instruct,person_plays_instrument,200,194,6,0.97,factual,128,0.7274604816921055
mistral_7b_instruct,person_plays_position_in_sport,200,130,70,0.65,factual,230,0.6771631183831588
mistral_7b_instruct,person_plays_pro_sport,200,176,24,0.88,factual,80,0.7796016797423363
mistral_7b_instruct,person_university,200,31,169,0.155,factual,23,0.5620396137237549
mistral_7b_instruct,product_by_company,200,170,30,0.85,factual,131,0.6057104635557146
mistral_7b_instruct,star_constellation,200,77,123,0.385,factual,90,0.5739775581492318
mistral_7b_instruct,superhero_archnemesis,200,58,142,0.29,factual,24,0.4502605733772118
mistral_7b_instruct,superhero_person,200,12,188,0.06,factual,25,0.5346372234821319
qwen2_5_7b_instruct,company_ceo,200,90,110,0.45,factual,75,0.4445355109373728
qwen2_5_7b_instruct,company_hq,200,195,5,0.975,factual,166,0.5031975351543312
qwen2_5_7b_instruct,landmark_in_country,200,198,2,0.99,factual,209,0.5782972803811708
qwen2_5_7b_instruct,landmark_on_continent,200,197,3,0.985,factual,235,0.59699471998722
qwen2_5_7b_instruct,person_father,200,177,23,0.885,factual,247,0.4224513489225133
qwen2_5_7b_instruct,person_mother,200,152,48,0.76,factual,248,0.4031273375355428
qwen2_5_7b_instruct,person_occupation,200,198,2,0.99,factual,206,0.5990813655181996
qwen2_5_7b_instruct,person_plays_instrument,200,200,0,1.0,factual,128,0.6304924571886659
qwen2_5_7b_instruct,person_plays_position_in_sport,200,177,23,0.885,factual,238,0.6116463662195606
qwen2_5_7b_instruct,person_plays_pro_sport,200,200,0,1.0,factual,80,0.6171863228082657
qwen2_5_7b_instruct,person_university,200,197,3,0.985,factual,23,0.4944808988467506
qwen2_5_7b_instruct,product_by_company,200,192,8,0.96,factual,131,0.5147430717035104
qwen2_5_7b_instruct,star_constellation,200,161,39,0.805,factual,91,0.5013437074619335
qwen2_5_7b_instruct,superhero_archnemesis,200,95,105,0.475,factual,24,0.4588209067781766
qwen2_5_7b_instruct,superhero_person,200,185,15,0.925,factual,25,0.481614476442337
