model_key,relation_key,n_total,n_train,n_test,core_q,thr_train_delta,delta_mean_test,delta_mean_test_core,delta_mean_test_periphery,core_frac_test,gap_core_minus_periphery,gap_core_minus_all,pos_share_core
gemma_7b_it,adj_antonym,100,75,25,0.3,0.6594377398490906,0.6385935831069947,0.6729571893811226,0.6224224742721108,0.32,0.05053471510901175,0.034363606274127934,0.33721964375874186
gemma_7b_it,adj_comparative,68,51,17,0.3,0.7078018188476562,0.6507961820153629,0.7165156205495199,0.636713445186615,0.17647058823529413,0.0798021753629049,0.06571943853415696,0.19429114142400683
gemma_7b_it,adj_superlative,80,60,20,0.3,0.6994570970535279,0.6475794941186905,0.7115075349807739,0.6262701471646627,0.25,0.08523738781611123,0.06392804086208337,0.27467961132288665
gemma_7b_it,characteristic_gender,30,22,8,0.3,0.8063171625137329,0.792833000421524,0.8251083095868429,0.7734678149223327,0.375,0.05164049466451015,0.032275309165318844,0.39026581377233244
gemma_7b_it,company_ceo,298,223,75,0.3,0.47146766185760497,0.4402566675345103,0.4901454997062683,0.41531225144863126,0.3333333333333333,0.07483324825763704,0.04988883217175799,0.3711058691067201
gemma_7b_it,company_hq,674,505,169,0.3,0.6862213492393494,0.645153866717096,0.720565648873647,0.6036427939703705,0.35502958579881655,0.11692285490327659,0.07541178215655109,0.39652885467808263
gemma_7b_it,country_currency,30,22,8,0.3,0.6765645742416382,0.556311558932066,0.7241787314414978,0.5323305342878614,0.125,0.19184819715363643,0.16786717250943184,0.16271878586157756
gemma_7b_it,degree_gender,38,28,10,0.3,0.808425772190094,0.8096145033836365,0.824459719657898,0.794769287109375,0.5,0.029690432548522994,0.014845216274261497,0.5091680770367988
gemma_7b_it,food_from_country,30,22,8,0.3,0.7606371104717254,0.7346063107252121,0.7672180533409119,0.7237357298533121,0.25,0.04348232348759973,0.03261174261569977,0.2610983741017366
gemma_7b_it,fruit_inside_color,36,27,9,0.3,0.8056638360023498,0.7938538789749146,0.8059378862380981,0.7923433780670166,0.1111111111111111,0.013594508171081543,0.012084007263183594,0.11280243933819091
