subset,model_key,y_metric,n_rel,pearson_r,spearman_rho,perm_p_one,perm_p_two,r_weighted_by_deltacos_n
all47,gemma_7b_it,hall_rate_answered,21,-0.5395705346906108,-0.5467532467532468,0.9952,0.0125,
all47,gemma_7b_it,hall_rate_noncorrect,21,0.5979343839596211,0.3881569438515551,0.00365,0.00365,
all47,llama3_1_8b_instruct,hall_rate_answered,21,-0.7334040372536327,-0.7441558441558441,0.99985,0.00025,
all47,llama3_1_8b_instruct,hall_rate_noncorrect,21,-0.09391408880220409,0.01587573828378506,0.6329,0.70295,
all47,mistral_7b_instruct,hall_rate_answered,21,-0.5851760184905113,-0.5547255895037692,0.99725,0.0051,
all47,mistral_7b_instruct,hall_rate_noncorrect,21,-0.08948282123325099,0.04421330136187545,0.644,0.70215,
all47,qwen2_5_7b_instruct,hall_rate_answered,21,-0.6188597771088279,-0.5878532300947437,0.99835,0.00345,
all47,qwen2_5_7b_instruct,hall_rate_noncorrect,21,-0.16040601371482388,0.07196526355411086,0.61075,0.67885,
min10,gemma_7b_it,hall_rate_answered,21,-0.5395705346906108,-0.5467532467532468,0.9952,0.0125,
min10,gemma_7b_it,hall_rate_noncorrect,21,0.5979343839596211,0.3881569438515551,0.00365,0.00365,
min10,llama3_1_8b_instruct,hall_rate_answered,21,-0.7334040372536327,-0.7441558441558441,0.99985,0.00025,
min10,llama3_1_8b_instruct,hall_rate_noncorrect,21,-0.09391408880220409,0.01587573828378506,0.6329,0.70295,
min10,mistral_7b_instruct,hall_rate_answered,21,-0.5851760184905113,-0.5547255895037692,0.99725,0.0051,
min10,mistral_7b_instruct,hall_rate_noncorrect,21,-0.08948282123325099,0.04421330136187545,0.644,0.70215,
min10,qwen2_5_7b_instruct,hall_rate_answered,21,-0.6188597771088279,-0.5878532300947437,0.99835,0.00345,
min10,qwen2_5_7b_instruct,hall_rate_noncorrect,21,-0.16040601371482388,0.07196526355411086,0.61075,0.67885,
