model_key,relation_key,metric,candidate_source,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
llama3_1_8b_instruct,adj_antonym,cosine,train,75,25,2,0.08,72,0.0,0.0,0.017142857142857144,60.0,70.0,35.51144790649414
llama3_1_8b_instruct,adj_comparative,cosine,train,51,17,3,0.17647058823529413,43,0.3333333333333333,0.3333333333333333,0.3582427536231884,18.666666666666668,23.0,31.41180992126465
llama3_1_8b_instruct,adj_superlative,cosine,train,60,20,1,0.05,60,0.0,0.0,0.03125,32.0,32.0,30.85274314880371
llama3_1_8b_instruct,company_ceo,cosine,train,223,75,6,0.08,220,0.0,0.3333333333333333,0.0652230454092397,35.5,19.0,17.242094039916992
llama3_1_8b_instruct,company_hq,cosine,train,505,169,146,0.863905325443787,141,0.07534246575342465,0.410958904109589,0.21425211750524578,29.945205479452056,17.0,27.36388397216797
llama3_1_8b_instruct,landmark_in_country,cosine,train,627,209,197,0.9425837320574163,79,0.050761421319796954,0.5126903553299492,0.1881420256217593,18.756345177664976,10.0,34.80579376220703
llama3_1_8b_instruct,landmark_on_continent,cosine,train,710,237,237,1.0,5,0.7426160337552743,1.0,0.8308016877637131,1.5611814345991561,1.0,32.00259780883789
llama3_1_8b_instruct,object_superclass,cosine,train,57,19,18,0.9473684210526315,9,0.4444444444444444,1.0,0.6268518518518519,2.5555555555555554,2.0,36.92384719848633
llama3_1_8b_instruct,occupation_age,cosine,train,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,41.96076965332031
llama3_1_8b_instruct,person_father,cosine,train,743,248,6,0.024193548387096774,727,0.0,0.3333333333333333,0.08421801649677756,94.0,104.0,17.830015182495117
llama3_1_8b_instruct,person_mother,cosine,train,745,249,16,0.0642570281124498,729,0.0,0.0625,0.0291953796501293,102.9375,65.0,16.1663875579834
llama3_1_8b_instruct,person_native_language,cosine,train,689,230,225,0.9782608695652174,27,0.6622222222222223,0.8755555555555555,0.7561003071003072,3.026666666666667,1.0,40.54112243652344
llama3_1_8b_instruct,person_occupation,cosine,train,615,206,204,0.9902912621359223,29,0.3382352941176471,0.8578431372549019,0.48135935658347373,5.259803921568627,4.0,34.966651916503906
llama3_1_8b_instruct,person_plays_instrument,cosine,train,384,129,129,1.0,6,0.4108527131782946,1.0,0.6524547803617571,1.945736434108527,2.0,31.080455780029297
llama3_1_8b_instruct,person_plays_position_in_sport,cosine,train,714,238,237,0.9957983193277311,13,0.4219409282700422,0.9915611814345991,0.5881838742598238,3.4177215189873418,2.0,32.41520309448242
llama3_1_8b_instruct,person_plays_pro_sport,cosine,train,238,80,80,1.0,5,0.275,1.0,0.4787500000000001,3.025,3.0,34.303409576416016
llama3_1_8b_instruct,person_university,cosine,train,68,23,5,0.21739130434782608,52,0.0,0.2,0.09267709184268877,19.4,19.0,23.104068756103516
llama3_1_8b_instruct,pokemon_evolutions,cosine,train,33,11,0,0.0,33,nan,nan,nan,nan,nan,23.734580993652344
llama3_1_8b_instruct,product_by_company,cosine,train,391,131,129,0.9847328244274809,28,0.2713178294573643,0.7674418604651163,0.4554004895100368,7.124031007751938,2.0,34.93598175048828
llama3_1_8b_instruct,star_constellation,cosine,train,271,91,87,0.9560439560439561,28,0.12643678160919541,0.7931034482758621,0.2728248650155341,6.793103448275862,7.0,28.898395538330078
llama3_1_8b_instruct,substance_phase,cosine,train,37,13,13,1.0,3,0.5384615384615384,1.0,0.7564102564102565,1.5384615384615385,1.0,42.68684387207031
llama3_1_8b_instruct,superhero_archnemesis,cosine,train,72,24,3,0.125,69,0.0,0.6666666666666666,0.26515151515151514,9.333333333333334,4.0,22.407594680786133
llama3_1_8b_instruct,superhero_person,cosine,train,75,25,0,0.0,75,nan,nan,nan,nan,nan,23.973236083984375
llama3_1_8b_instruct,task_done_by_tool,cosine,train,39,13,0,0.0,38,nan,nan,nan,nan,nan,30.774324417114258
llama3_1_8b_instruct,verb_past_tense,cosine,train,57,19,0,0.0,57,nan,nan,nan,nan,nan,35.134090423583984
llama3_1_8b_instruct,word_first_letter,cosine,train,180,61,61,1.0,25,0.4918032786885246,0.8524590163934426,0.6152275899485662,4.590163934426229,2.0,40.1234016418457
llama3_1_8b_instruct,word_last_letter,cosine,train,180,61,61,1.0,18,0.2786885245901639,0.8688524590163934,0.4573533934189671,4.622950819672131,3.0,40.130958557128906
llama3_1_8b_instruct,word_sentiment,cosine,train,45,15,15,1.0,3,0.2,1.0,0.5333333333333332,2.2,2.0,43.75757598876953
