model_key,relation_key,metric,candidate_source,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
mistral_7b_instruct,adj_antonym,cosine,train,75,25,2,0.08,72,0.0,0.0,0.017095265926358856,58.5,59.0,18.225740432739258
mistral_7b_instruct,adj_comparative,cosine,train,51,17,3,0.17647058823529413,43,0.0,0.0,0.038461538461538464,26.0,26.0,17.39694595336914
mistral_7b_instruct,adj_superlative,cosine,train,60,20,1,0.05,60,0.0,0.0,0.03125,32.0,32.0,16.613876342773438
mistral_7b_instruct,company_ceo,cosine,train,223,75,6,0.08,220,0.0,0.0,0.020537289840674114,81.83333333333333,82.0,9.45034122467041
mistral_7b_instruct,company_hq,cosine,train,505,169,146,0.863905325443787,141,0.18493150684931506,0.4452054794520548,0.2912300368459763,28.143835616438356,17.0,15.541241645812988
mistral_7b_instruct,landmark_in_country,cosine,train,627,209,197,0.9425837320574163,79,0.07614213197969544,0.5025380710659898,0.19966721147553773,16.84263959390863,9.0,18.7533016204834
mistral_7b_instruct,landmark_on_continent,cosine,train,710,237,237,1.0,5,0.7426160337552743,1.0,0.8385372714486641,1.5021097046413503,1.0,15.795795440673828
mistral_7b_instruct,object_superclass,cosine,train,57,19,18,0.9473684210526315,9,0.3333333333333333,1.0,0.5666666666666667,2.6666666666666665,2.0,18.027124404907227
mistral_7b_instruct,occupation_age,cosine,train,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,20.137222290039062
mistral_7b_instruct,person_father,cosine,train,743,248,6,0.024193548387096774,727,0.0,0.0,0.0177853320521626,188.33333333333334,128.0,9.209912300109863
mistral_7b_instruct,person_mother,cosine,train,745,249,16,0.0642570281124498,729,0.0,0.0625,0.02854547732195934,240.625,335.0,8.281094551086426
mistral_7b_instruct,person_native_language,cosine,train,689,230,225,0.9782608695652174,27,0.6622222222222223,0.9866666666666667,0.781302701197438,2.026666666666667,1.0,20.55303192138672
mistral_7b_instruct,person_occupation,cosine,train,615,206,204,0.9902912621359223,29,0.3382352941176471,0.8872549019607843,0.5127657676304309,4.852941176470588,2.0,17.8813533782959
mistral_7b_instruct,person_plays_instrument,cosine,train,384,129,129,1.0,6,0.4108527131782946,1.0,0.6421188630490957,2.0697674418604652,2.0,18.534574508666992
mistral_7b_instruct,person_plays_position_in_sport,cosine,train,714,238,237,0.9957983193277311,13,0.4219409282700422,0.9915611814345991,0.5930830772602927,3.3037974683544302,2.0,16.231666564941406
mistral_7b_instruct,person_plays_pro_sport,cosine,train,238,80,80,1.0,5,0.225,1.0,0.4737499999999999,2.975,3.0,19.77431869506836
mistral_7b_instruct,person_university,cosine,train,68,23,5,0.21739130434782608,52,0.0,0.6,0.19812030075187967,13.0,7.0,11.871581077575684
mistral_7b_instruct,pokemon_evolutions,cosine,train,33,11,0,0.0,33,nan,nan,nan,nan,nan,12.463515281677246
mistral_7b_instruct,product_by_company,cosine,train,391,131,129,0.9847328244274809,28,0.2713178294573643,0.7364341085271318,0.4603045590265093,6.666666666666667,2.0,18.498825073242188
mistral_7b_instruct,star_constellation,cosine,train,271,91,87,0.9560439560439561,28,0.11494252873563218,0.7126436781609196,0.2937683147368744,6.977011494252873,5.0,13.846772193908691
mistral_7b_instruct,substance_phase,cosine,train,37,13,13,1.0,3,0.5384615384615384,1.0,0.7564102564102565,1.5384615384615385,1.0,20.782100677490234
mistral_7b_instruct,superhero_archnemesis,cosine,train,72,24,3,0.125,69,0.0,0.3333333333333333,0.20076726342710996,14.0,17.0,11.516437530517578
mistral_7b_instruct,superhero_person,cosine,train,75,25,0,0.0,75,nan,nan,nan,nan,nan,11.911033630371094
mistral_7b_instruct,task_done_by_tool,cosine,train,39,13,0,0.0,38,nan,nan,nan,nan,nan,16.584434509277344
mistral_7b_instruct,verb_past_tense,cosine,train,57,19,0,0.0,57,nan,nan,nan,nan,nan,19.826679229736328
mistral_7b_instruct,word_first_letter,cosine,train,180,61,61,1.0,25,0.06557377049180328,0.7704918032786885,0.24958231249202165,7.39344262295082,5.0,20.15165138244629
mistral_7b_instruct,word_last_letter,cosine,train,180,61,61,1.0,18,0.21311475409836064,0.7868852459016393,0.3966994432761068,5.557377049180328,4.0,19.481443405151367
mistral_7b_instruct,word_sentiment,cosine,train,45,15,15,1.0,3,0.2,1.0,0.5333333333333332,2.2,2.0,20.796863555908203
