model_key,relation_key,metric,candidate_source,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
qwen2_5_7b_instruct,adj_antonym,cosine,train,75,25,2,0.08,72,0.0,0.0,0.015720953082780643,64.0,69.0,325.25201416015625
qwen2_5_7b_instruct,adj_comparative,cosine,train,51,17,3,0.17647058823529413,43,0.3333333333333333,0.3333333333333333,0.3567676767676768,19.666666666666668,25.0,285.6373596191406
qwen2_5_7b_instruct,adj_superlative,cosine,train,60,20,1,0.05,60,0.0,0.0,0.030303030303030304,33.0,33.0,286.86236572265625
qwen2_5_7b_instruct,company_ceo,cosine,train,223,75,6,0.08,220,0.16666666666666666,0.3333333333333333,0.2625426146024621,52.833333333333336,52.0,205.08692932128906
qwen2_5_7b_instruct,company_hq,cosine,train,505,169,146,0.863905325443787,141,0.18493150684931506,0.3835616438356164,0.2606234143775868,35.178082191780824,30.0,273.6748046875
qwen2_5_7b_instruct,landmark_in_country,cosine,train,627,209,197,0.9425837320574163,79,0.1116751269035533,0.49238578680203043,0.22226118201422668,19.228426395939085,11.0,338.53533935546875
qwen2_5_7b_instruct,landmark_on_continent,cosine,train,710,237,237,1.0,5,0.7426160337552743,1.0,0.838888888888889,1.4767932489451476,1.0,315.65557861328125
qwen2_5_7b_instruct,object_superclass,cosine,train,57,19,18,0.9473684210526315,9,0.3888888888888889,1.0,0.5981481481481482,2.5,2.0,332.7963562011719
qwen2_5_7b_instruct,occupation_age,cosine,train,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,378.8050842285156
qwen2_5_7b_instruct,person_father,cosine,train,743,248,6,0.024193548387096774,727,0.0,0.16666666666666666,0.09929093101336041,150.16666666666666,110.0,218.76084899902344
qwen2_5_7b_instruct,person_mother,cosine,train,745,249,16,0.0642570281124498,729,0.0,0.0,0.01157124638795902,211.3125,151.0,193.09951782226562
qwen2_5_7b_instruct,person_native_language,cosine,train,689,230,225,0.9782608695652174,27,0.6622222222222223,0.8755555555555555,0.759857604250277,3.2355555555555555,1.0,364.1077880859375
qwen2_5_7b_instruct,person_occupation,cosine,train,615,206,204,0.9902912621359223,29,0.3382352941176471,0.8186274509803921,0.46512060746743755,6.0931372549019605,5.0,307.9257507324219
qwen2_5_7b_instruct,person_plays_instrument,cosine,train,384,129,129,1.0,6,0.4108527131782946,1.0,0.642764857881137,2.062015503875969,2.0,302.65130615234375
qwen2_5_7b_instruct,person_plays_position_in_sport,cosine,train,714,238,237,0.9957983193277311,13,0.4219409282700422,0.9915611814345991,0.5883046864059517,3.4936708860759493,2.0,306.281494140625
qwen2_5_7b_instruct,person_plays_pro_sport,cosine,train,238,80,80,1.0,5,0.2,1.0,0.44125,3.1,3.0,306.1748962402344
qwen2_5_7b_instruct,person_university,cosine,train,68,23,5,0.21739130434782608,52,0.0,0.4,0.16295518207282914,13.6,17.0,244.78453063964844
qwen2_5_7b_instruct,pokemon_evolutions,cosine,train,33,11,0,0.0,33,nan,nan,nan,nan,nan,243.78701782226562
qwen2_5_7b_instruct,product_by_company,cosine,train,391,131,129,0.9847328244274809,28,0.2713178294573643,0.7596899224806202,0.42028496789973935,7.4186046511627906,3.0,331.0210266113281
qwen2_5_7b_instruct,star_constellation,cosine,train,271,91,87,0.9560439560439561,28,0.13793103448275862,0.7241379310344828,0.30593530502252597,6.977011494252873,8.0,297.8961486816406
qwen2_5_7b_instruct,substance_phase,cosine,train,37,13,13,1.0,3,0.5384615384615384,1.0,0.7564102564102565,1.5384615384615385,1.0,387.0437927246094
qwen2_5_7b_instruct,superhero_archnemesis,cosine,train,72,24,3,0.125,69,0.0,0.3333333333333333,0.1981556455240666,24.0,13.0,243.6085205078125
qwen2_5_7b_instruct,superhero_person,cosine,train,75,25,0,0.0,75,nan,nan,nan,nan,nan,258.05181884765625
qwen2_5_7b_instruct,task_done_by_tool,cosine,train,39,13,0,0.0,38,nan,nan,nan,nan,nan,283.4539489746094
qwen2_5_7b_instruct,verb_past_tense,cosine,train,57,19,0,0.0,57,nan,nan,nan,nan,nan,304.0658264160156
qwen2_5_7b_instruct,word_first_letter,cosine,train,180,61,61,1.0,25,0.5901639344262295,0.8852459016393442,0.6843568520304297,3.9836065573770494,1.0,387.21038818359375
qwen2_5_7b_instruct,word_last_letter,cosine,train,180,61,61,1.0,18,0.2459016393442623,0.6721311475409836,0.39046017734542315,6.245901639344262,3.0,376.5411376953125
qwen2_5_7b_instruct,word_sentiment,cosine,train,45,15,15,1.0,3,0.2,1.0,0.5333333333333332,2.2,2.0,387.233642578125
