model_key,relation_key,metric,candidate_source,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
gemma_7b_it,adj_antonym,cosine,all,75,25,25,1.0,95,0.08,0.36,0.16748209263538422,31.0,19.0,38.486019134521484
gemma_7b_it,adj_comparative,cosine,all,51,17,17,1.0,57,0.23529411764705882,0.4117647058823529,0.3271778590599222,18.0,13.0,32.5128288269043
gemma_7b_it,adj_superlative,cosine,all,60,20,20,1.0,79,0.25,0.5,0.309762158276121,21.65,16.0,34.06837844848633
gemma_7b_it,company_ceo,cosine,all,223,75,75,1.0,287,0.08,0.2,0.13683467307221178,90.90666666666667,86.0,18.236766815185547
gemma_7b_it,company_hq,cosine,all,505,169,169,1.0,163,0.15976331360946747,0.3609467455621302,0.242885903095316,37.633136094674555,21.0,33.673336029052734
gemma_7b_it,landmark_in_country,cosine,all,627,209,209,1.0,91,0.11004784688995216,0.45933014354066987,0.2112201299775289,21.822966507177032,13.0,44.4102897644043
gemma_7b_it,landmark_on_continent,cosine,all,710,237,237,1.0,5,0.7426160337552743,1.0,0.8343178621659634,1.5316455696202531,1.0,38.043724060058594
gemma_7b_it,object_superclass,cosine,all,57,19,19,1.0,10,0.8421052631578947,1.0,0.8659147869674185,1.894736842105263,1.0,44.099483489990234
gemma_7b_it,occupation_age,cosine,all,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,43.471458435058594
gemma_7b_it,person_father,cosine,all,743,248,248,1.0,968,0.08064516129032258,0.11693548387096774,0.09675955120859704,324.1733870967742,235.0,25.215166091918945
gemma_7b_it,person_mother,cosine,all,745,249,249,1.0,962,0.020080321285140562,0.08433734939759036,0.04644912090547482,340.2168674698795,286.0,22.030179977416992
gemma_7b_it,person_native_language,cosine,all,689,230,230,1.0,30,0.6478260869565218,0.9652173913043478,0.7294841347910399,2.7695652173913046,1.0,44.724544525146484
gemma_7b_it,person_occupation,cosine,all,615,206,206,1.0,31,0.33495145631067963,0.8203883495145631,0.5010385038147815,5.936893203883495,2.0,43.50857925415039
gemma_7b_it,person_plays_instrument,cosine,all,384,129,129,1.0,6,0.4108527131782946,1.0,0.6524547803617571,1.945736434108527,2.0,42.36960220336914
gemma_7b_it,person_plays_position_in_sport,cosine,all,714,238,238,1.0,14,0.42016806722689076,0.8277310924369747,0.5744364412431641,4.3277310924369745,2.0,34.94256591796875
gemma_7b_it,person_plays_pro_sport,cosine,all,238,80,80,1.0,5,0.5625,1.0,0.6991666666666669,2.15,1.0,43.29558181762695
gemma_7b_it,person_university,cosine,all,68,23,23,1.0,69,0.043478260869565216,0.21739130434782608,0.10523960403567152,28.869565217391305,25.0,27.718868255615234
gemma_7b_it,pokemon_evolutions,cosine,all,33,11,11,1.0,44,0.18181818181818182,0.8181818181818182,0.4042790542790542,7.636363636363637,3.0,26.39432144165039
gemma_7b_it,product_by_company,cosine,all,391,131,131,1.0,30,0.2824427480916031,0.7404580152671756,0.4655394759943744,7.259541984732825,2.0,34.755859375
gemma_7b_it,star_constellation,cosine,all,271,91,91,1.0,31,0.23076923076923078,0.5604395604395604,0.3381870799009159,9.142857142857142,8.0,35.99850845336914
gemma_7b_it,substance_phase,cosine,all,37,13,13,1.0,3,0.5384615384615384,1.0,0.7564102564102565,1.5384615384615385,1.0,44.08469009399414
gemma_7b_it,superhero_archnemesis,cosine,all,72,24,24,1.0,90,0.041666666666666664,0.5416666666666666,0.17358035305806996,26.833333333333332,10.0,24.871849060058594
gemma_7b_it,superhero_person,cosine,all,75,25,25,1.0,100,0.08,0.28,0.1405022900520255,42.56,48.0,26.719717025756836
gemma_7b_it,task_done_by_tool,cosine,all,39,13,13,1.0,51,0.15384615384615385,0.23076923076923078,0.18920137355845038,24.307692307692307,25.0,34.48378372192383
gemma_7b_it,verb_past_tense,cosine,all,57,19,19,1.0,76,0.5263157894736842,0.5789473684210527,0.549203959244632,18.36842105263158,1.0,38.55455780029297
gemma_7b_it,word_first_letter,cosine,all,180,61,61,1.0,25,0.29508196721311475,0.7704918032786885,0.4569233589725392,5.688524590163935,3.0,40.63949203491211
gemma_7b_it,word_last_letter,cosine,all,180,61,61,1.0,18,0.21311475409836064,0.8360655737704918,0.38821210665472955,5.80327868852459,6.0,41.93606948852539
gemma_7b_it,word_sentiment,cosine,all,45,15,15,1.0,3,0.4,1.0,0.6333333333333334,2.0,2.0,47.03191375732422
