model_key,relation_key,metric,candidate_source,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
mistral_7b_instruct,adj_antonym,cosine,all,75,25,25,1.0,95,0.0,0.12,0.049647769198198154,39.84,29.0,18.225740432739258
mistral_7b_instruct,adj_comparative,cosine,all,51,17,17,1.0,57,0.29411764705882354,0.47058823529411764,0.3596167522918199,20.647058823529413,30.0,17.39694595336914
mistral_7b_instruct,adj_superlative,cosine,all,60,20,20,1.0,79,0.05,0.1,0.09375030246743697,36.45,32.0,16.613876342773438
mistral_7b_instruct,company_ceo,cosine,all,223,75,75,1.0,287,0.0,0.06666666666666667,0.03187075338084842,119.70666666666666,109.0,9.45034122467041
mistral_7b_instruct,company_hq,cosine,all,505,169,169,1.0,163,0.15976331360946747,0.3905325443786982,0.2556943498636157,37.24260355029586,21.0,15.541241645812988
mistral_7b_instruct,landmark_in_country,cosine,all,627,209,209,1.0,91,0.07655502392344497,0.47368421052631576,0.18895623293376335,20.330143540669855,11.0,18.7533016204834
mistral_7b_instruct,landmark_on_continent,cosine,all,710,237,237,1.0,5,0.7426160337552743,1.0,0.837834036568214,1.510548523206751,1.0,15.795795440673828
mistral_7b_instruct,object_superclass,cosine,all,57,19,19,1.0,10,0.42105263157894735,1.0,0.5944862155388472,2.8947368421052633,2.0,18.027124404907227
mistral_7b_instruct,occupation_age,cosine,all,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,20.137222290039062
mistral_7b_instruct,person_father,cosine,all,743,248,248,1.0,968,0.004032258064516129,0.04435483870967742,0.018042317014824345,392.616935483871,352.0,9.209912300109863
mistral_7b_instruct,person_mother,cosine,all,745,249,249,1.0,962,0.004016064257028112,0.03614457831325301,0.01896578336607273,411.42971887550203,407.0,8.281094551086426
mistral_7b_instruct,person_native_language,cosine,all,689,230,230,1.0,30,0.6478260869565218,0.9652173913043478,0.7609365410804031,2.347826086956522,1.0,20.55303192138672
mistral_7b_instruct,person_occupation,cosine,all,615,206,206,1.0,31,0.33495145631067963,0.883495145631068,0.5074484108486716,5.067961165048544,2.0,17.8813533782959
mistral_7b_instruct,person_plays_instrument,cosine,all,384,129,129,1.0,6,0.4108527131782946,1.0,0.6421188630490957,2.0697674418604652,2.0,18.534574508666992
mistral_7b_instruct,person_plays_position_in_sport,cosine,all,714,238,238,1.0,14,0.42016806722689076,0.9873949579831933,0.5912413916615601,3.3445378151260505,2.0,16.231666564941406
mistral_7b_instruct,person_plays_pro_sport,cosine,all,238,80,80,1.0,5,0.225,1.0,0.4737499999999999,2.975,3.0,19.77431869506836
mistral_7b_instruct,person_university,cosine,all,68,23,23,1.0,69,0.0,0.21739130434782608,0.08200644590137425,33.26086956521739,34.0,11.871581077575684
mistral_7b_instruct,pokemon_evolutions,cosine,all,33,11,11,1.0,44,0.0,0.2727272727272727,0.0860884417750038,22.818181818181817,25.0,12.463515281677246
mistral_7b_instruct,product_by_company,cosine,all,391,131,131,1.0,30,0.26717557251908397,0.7251908396946565,0.45769669963685855,6.99236641221374,2.0,18.498825073242188
mistral_7b_instruct,star_constellation,cosine,all,271,91,91,1.0,31,0.10989010989010989,0.7472527472527473,0.2769137299997143,7.802197802197802,6.0,13.846772193908691
mistral_7b_instruct,substance_phase,cosine,all,37,13,13,1.0,3,0.5384615384615384,1.0,0.7564102564102565,1.5384615384615385,1.0,20.782100677490234
mistral_7b_instruct,superhero_archnemesis,cosine,all,72,24,24,1.0,90,0.0,0.08333333333333333,0.054848617330358146,41.708333333333336,40.0,11.516437530517578
mistral_7b_instruct,superhero_person,cosine,all,75,25,25,1.0,100,0.04,0.08,0.07590951988677547,50.88,52.0,11.911033630371094
mistral_7b_instruct,task_done_by_tool,cosine,all,39,13,13,1.0,51,0.0,0.07692307692307693,0.047253320769929955,31.76923076923077,34.0,16.584434509277344
mistral_7b_instruct,verb_past_tense,cosine,all,57,19,19,1.0,76,0.3684210526315789,0.7368421052631579,0.486546980924841,16.68421052631579,3.0,19.826679229736328
mistral_7b_instruct,word_first_letter,cosine,all,180,61,61,1.0,25,0.08196721311475409,0.7704918032786885,0.26204970321653054,7.147540983606557,5.0,20.15165138244629
mistral_7b_instruct,word_last_letter,cosine,all,180,61,61,1.0,18,0.21311475409836064,0.7868852459016393,0.39855984179754683,5.344262295081967,4.0,19.481443405151367
mistral_7b_instruct,word_sentiment,cosine,all,45,15,15,1.0,3,0.2,1.0,0.5333333333333332,2.2,2.0,20.796863555908203
