model_key,relation_key,metric,candidate_source,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
qwen2_5_7b_instruct,adj_antonym,cosine,all,75,25,25,1.0,95,0.04,0.16,0.09719700268173134,41.52,39.0,325.25201416015625
qwen2_5_7b_instruct,adj_comparative,cosine,all,51,17,17,1.0,57,0.17647058823529413,0.23529411764705882,0.21847919722511702,26.11764705882353,30.0,285.6373596191406
qwen2_5_7b_instruct,adj_superlative,cosine,all,60,20,20,1.0,79,0.15,0.3,0.2153462037036789,32.7,34.0,286.86236572265625
qwen2_5_7b_instruct,company_ceo,cosine,all,223,75,75,1.0,287,0.013333333333333334,0.08,0.050519297904966336,117.73333333333333,108.0,205.08692932128906
qwen2_5_7b_instruct,company_hq,cosine,all,505,169,169,1.0,163,0.15976331360946747,0.33136094674556216,0.2239843283064466,46.56804733727811,34.0,273.6748046875
qwen2_5_7b_instruct,landmark_in_country,cosine,all,627,209,209,1.0,91,0.10526315789473684,0.4688995215311005,0.20659011873166264,22.583732057416267,13.0,338.53533935546875
qwen2_5_7b_instruct,landmark_on_continent,cosine,all,710,237,237,1.0,5,0.7426160337552743,1.0,0.837482419127989,1.4936708860759493,1.0,315.65557861328125
qwen2_5_7b_instruct,object_superclass,cosine,all,57,19,19,1.0,10,0.3684210526315789,1.0,0.5733082706766917,2.8421052631578947,2.0,332.7963562011719
qwen2_5_7b_instruct,occupation_age,cosine,all,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,378.8050842285156
qwen2_5_7b_instruct,person_father,cosine,all,743,248,248,1.0,968,0.004032258064516129,0.03225806451612903,0.015742362423842908,426.96370967741933,407.0,218.76084899902344
qwen2_5_7b_instruct,person_mother,cosine,all,745,249,249,1.0,962,0.0,0.028112449799196786,0.009158433488482545,456.4618473895582,452.0,193.09951782226562
qwen2_5_7b_instruct,person_native_language,cosine,all,689,230,230,1.0,30,0.6478260869565218,0.8565217391304348,0.7447402670981169,3.643478260869565,1.0,364.1077880859375
qwen2_5_7b_instruct,person_occupation,cosine,all,615,206,206,1.0,31,0.33495145631067963,0.7766990291262136,0.4612087501886194,6.247572815533981,5.0,307.9257507324219
qwen2_5_7b_instruct,person_plays_instrument,cosine,all,384,129,129,1.0,6,0.4108527131782946,1.0,0.642764857881137,2.062015503875969,2.0,302.65130615234375
qwen2_5_7b_instruct,person_plays_position_in_sport,cosine,all,714,238,238,1.0,14,0.42016806722689076,0.9873949579831933,0.5858528259788758,3.546218487394958,2.0,306.281494140625
qwen2_5_7b_instruct,person_plays_pro_sport,cosine,all,238,80,80,1.0,5,0.2,1.0,0.44333333333333325,3.0875,3.0,306.1748962402344
qwen2_5_7b_instruct,person_university,cosine,all,68,23,23,1.0,69,0.0,0.13043478260869565,0.06629616502774413,34.30434782608695,32.0,244.78453063964844
qwen2_5_7b_instruct,pokemon_evolutions,cosine,all,33,11,11,1.0,44,0.09090909090909091,0.45454545454545453,0.2273467301334119,18.90909090909091,12.0,243.78701782226562
qwen2_5_7b_instruct,product_by_company,cosine,all,391,131,131,1.0,30,0.26717557251908397,0.7480916030534351,0.4074092880180596,7.977099236641221,3.0,331.0210266113281
qwen2_5_7b_instruct,star_constellation,cosine,all,271,91,91,1.0,31,0.2087912087912088,0.6923076923076923,0.3453674878807525,7.593406593406593,8.0,297.8961486816406
qwen2_5_7b_instruct,substance_phase,cosine,all,37,13,13,1.0,3,0.5384615384615384,1.0,0.7564102564102565,1.5384615384615385,1.0,387.0437927246094
qwen2_5_7b_instruct,superhero_archnemesis,cosine,all,72,24,24,1.0,90,0.0,0.20833333333333334,0.07518912880019404,36.375,37.0,243.6085205078125
qwen2_5_7b_instruct,superhero_person,cosine,all,75,25,25,1.0,100,0.0,0.04,0.040733040402296174,58.56,59.0,258.05181884765625
qwen2_5_7b_instruct,task_done_by_tool,cosine,all,39,13,13,1.0,51,0.0,0.15384615384615385,0.0554705250859097,25.384615384615383,21.0,283.4539489746094
qwen2_5_7b_instruct,verb_past_tense,cosine,all,57,19,19,1.0,76,0.3684210526315789,0.47368421052631576,0.39912555804864686,26.0,31.0,304.0658264160156
qwen2_5_7b_instruct,word_first_letter,cosine,all,180,61,61,1.0,25,0.6229508196721312,0.8852459016393442,0.7036518550474545,3.8852459016393444,1.0,387.21038818359375
qwen2_5_7b_instruct,word_last_letter,cosine,all,180,61,61,1.0,18,0.21311475409836064,0.6885245901639344,0.37307495087147924,6.459016393442623,3.0,376.5411376953125
qwen2_5_7b_instruct,word_sentiment,cosine,all,45,15,15,1.0,3,0.2,1.0,0.5333333333333332,2.2,2.0,387.233642578125
