model_key,relation_key,metric,candidate_source,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
llama3_1_8b_instruct,adj_antonym,euclidean,train,75,25,2,0.08,72,0.0,0.0,0.015388257575757576,65.0,66.0,35.51144790649414
llama3_1_8b_instruct,adj_comparative,euclidean,train,51,17,3,0.17647058823529413,43,0.0,0.3333333333333333,0.19920634920634925,14.333333333333334,20.0,31.41180992126465
llama3_1_8b_instruct,adj_superlative,euclidean,train,60,20,1,0.05,60,0.0,0.0,0.03571428571428571,28.0,28.0,30.85274314880371
llama3_1_8b_instruct,company_ceo,euclidean,train,223,75,6,0.08,220,0.0,0.0,0.01979652578322931,109.66666666666667,91.0,17.242094039916992
llama3_1_8b_instruct,company_hq,euclidean,train,505,169,146,0.863905325443787,141,0.1095890410958904,0.3698630136986301,0.20795566874381366,30.376712328767123,21.0,27.36388397216797
llama3_1_8b_instruct,landmark_in_country,euclidean,train,627,209,197,0.9425837320574163,79,0.050761421319796954,0.5025380710659898,0.1830030051148191,18.939086294416242,10.0,34.80579376220703
llama3_1_8b_instruct,landmark_on_continent,euclidean,train,710,237,237,1.0,5,0.7426160337552743,1.0,0.8087201125175808,1.8016877637130801,1.0,32.00259780883789
llama3_1_8b_instruct,object_superclass,euclidean,train,57,19,18,0.9473684210526315,9,0.3333333333333333,1.0,0.575925925925926,2.611111111111111,2.0,36.92384719848633
llama3_1_8b_instruct,occupation_age,euclidean,train,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,41.96076965332031
llama3_1_8b_instruct,person_father,euclidean,train,743,248,6,0.024193548387096774,727,0.16666666666666666,0.16666666666666666,0.17102437143563595,240.16666666666666,246.0,17.830015182495117
llama3_1_8b_instruct,person_mother,euclidean,train,745,249,16,0.0642570281124498,729,0.0,0.0,0.002307900653474206,515.1875,547.0,16.1663875579834
llama3_1_8b_instruct,person_native_language,euclidean,train,689,230,225,0.9782608695652174,27,0.6622222222222223,0.8755555555555555,0.7557569344236014,3.0,1.0,40.54112243652344
llama3_1_8b_instruct,person_occupation,euclidean,train,615,206,204,0.9902912621359223,29,0.3382352941176471,0.8872549019607843,0.5291899944285665,4.372549019607843,2.0,34.966651916503906
llama3_1_8b_instruct,person_plays_instrument,euclidean,train,384,129,129,1.0,6,0.4108527131782946,1.0,0.6524547803617571,1.945736434108527,2.0,31.080455780029297
llama3_1_8b_instruct,person_plays_position_in_sport,euclidean,train,714,238,237,0.9957983193277311,13,0.4219409282700422,0.9915611814345991,0.594718783326378,3.080168776371308,2.0,32.41520309448242
llama3_1_8b_instruct,person_plays_pro_sport,euclidean,train,238,80,80,1.0,5,0.2625,1.0,0.47666666666666657,2.9875,3.0,34.303409576416016
llama3_1_8b_instruct,person_university,euclidean,train,68,23,5,0.21739130434782608,52,0.0,0.4,0.08768555116381202,25.2,23.0,23.104068756103516
llama3_1_8b_instruct,pokemon_evolutions,euclidean,train,33,11,0,0.0,33,nan,nan,nan,nan,nan,23.734580993652344
llama3_1_8b_instruct,product_by_company,euclidean,train,391,131,129,0.9847328244274809,28,0.2713178294573643,0.7751937984496124,0.4572943845581459,7.007751937984496,2.0,34.93598175048828
llama3_1_8b_instruct,star_constellation,euclidean,train,271,91,87,0.9560439560439561,28,0.1839080459770115,0.8735632183908046,0.33707207543414436,5.988505747126437,5.0,28.898395538330078
llama3_1_8b_instruct,substance_phase,euclidean,train,37,13,13,1.0,3,0.5384615384615384,1.0,0.7564102564102565,1.5384615384615385,1.0,42.68684387207031
llama3_1_8b_instruct,superhero_archnemesis,euclidean,train,72,24,3,0.125,69,0.0,0.3333333333333333,0.05705003248862898,27.666666666666668,19.0,22.407594680786133
llama3_1_8b_instruct,superhero_person,euclidean,train,75,25,0,0.0,75,nan,nan,nan,nan,nan,23.973236083984375
llama3_1_8b_instruct,task_done_by_tool,euclidean,train,39,13,0,0.0,38,nan,nan,nan,nan,nan,30.774324417114258
llama3_1_8b_instruct,verb_past_tense,euclidean,train,57,19,0,0.0,57,nan,nan,nan,nan,nan,35.134090423583984
llama3_1_8b_instruct,word_first_letter,euclidean,train,180,61,61,1.0,25,0.4262295081967213,0.819672131147541,0.5833413456346457,4.622950819672131,2.0,40.1234016418457
llama3_1_8b_instruct,word_last_letter,euclidean,train,180,61,61,1.0,18,0.29508196721311475,0.8688524590163934,0.47061351672007395,4.622950819672131,3.0,40.130958557128906
llama3_1_8b_instruct,word_sentiment,euclidean,train,45,15,15,1.0,3,0.2,1.0,0.5333333333333332,2.2,2.0,43.75757598876953
