model_key,relation_key,metric,candidate_source,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
llama3_1_8b_instruct,adj_antonym,euclidean,all,75,25,25,1.0,95,0.08,0.16,0.11510991303792434,39.76,36.0,35.51144790649414
llama3_1_8b_instruct,adj_comparative,euclidean,all,51,17,17,1.0,57,0.058823529411764705,0.4117647058823529,0.18526131298993387,26.705882352941178,27.0,31.41180992126465
llama3_1_8b_instruct,adj_superlative,euclidean,all,60,20,20,1.0,79,0.25,0.35,0.2811623317380485,32.45,35.0,30.85274314880371
llama3_1_8b_instruct,company_ceo,euclidean,all,223,75,75,1.0,287,0.013333333333333334,0.04,0.03321589805110763,129.76,115.0,17.242094039916992
llama3_1_8b_instruct,company_hq,euclidean,all,505,169,169,1.0,163,0.05325443786982249,0.31952662721893493,0.15158228983451796,39.662721893491124,27.0,27.36388397216797
llama3_1_8b_instruct,landmark_in_country,euclidean,all,627,209,209,1.0,91,0.04784688995215311,0.4880382775119617,0.17442176186529212,22.229665071770334,13.0,34.80579376220703
llama3_1_8b_instruct,landmark_on_continent,euclidean,all,710,237,237,1.0,5,0.7426160337552743,1.0,0.8094233473980309,1.7974683544303798,1.0,32.00259780883789
llama3_1_8b_instruct,object_superclass,euclidean,all,57,19,19,1.0,10,0.42105263157894735,1.0,0.6120300751879699,2.6842105263157894,2.0,36.92384719848633
llama3_1_8b_instruct,occupation_age,euclidean,all,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,41.96076965332031
llama3_1_8b_instruct,person_father,euclidean,all,743,248,248,1.0,968,0.012096774193548387,0.03225806451612903,0.02515038381075486,374.98387096774195,341.0,17.830015182495117
llama3_1_8b_instruct,person_mother,euclidean,all,745,249,249,1.0,962,0.0,0.01606425702811245,0.008599073729942923,430.08032128514054,386.0,16.1663875579834
llama3_1_8b_instruct,person_native_language,euclidean,all,689,230,230,1.0,30,0.6478260869565218,0.8565217391304348,0.7413695722448586,3.3347826086956522,1.0,40.54112243652344
llama3_1_8b_instruct,person_occupation,euclidean,all,615,206,206,1.0,31,0.33495145631067963,0.8786407766990292,0.5243381120222924,4.58252427184466,2.0,34.966651916503906
llama3_1_8b_instruct,person_plays_instrument,euclidean,all,384,129,129,1.0,6,0.4108527131782946,1.0,0.6524547803617571,1.945736434108527,2.0,31.080455780029297
llama3_1_8b_instruct,person_plays_position_in_sport,euclidean,all,714,238,238,1.0,14,0.42016806722689076,0.9873949579831933,0.592320004925047,3.0840336134453783,2.0,32.41520309448242
llama3_1_8b_instruct,person_plays_pro_sport,euclidean,all,238,80,80,1.0,5,0.225,1.0,0.4579166666666666,3.025,3.0,34.303409576416016
llama3_1_8b_instruct,person_university,euclidean,all,68,23,23,1.0,69,0.0,0.21739130434782608,0.06335043913782015,29.91304347826087,26.0,23.104068756103516
llama3_1_8b_instruct,pokemon_evolutions,euclidean,all,33,11,11,1.0,44,0.0,0.45454545454545453,0.09906039906039905,17.181818181818183,12.0,23.734580993652344
llama3_1_8b_instruct,product_by_company,euclidean,all,391,131,131,1.0,30,0.26717557251908397,0.7404580152671756,0.45183303750399006,7.404580152671755,2.0,34.93598175048828
llama3_1_8b_instruct,star_constellation,euclidean,all,271,91,91,1.0,31,0.17582417582417584,0.8351648351648352,0.33197604694857424,6.604395604395604,5.0,28.898395538330078
llama3_1_8b_instruct,substance_phase,euclidean,all,37,13,13,1.0,3,0.5384615384615384,1.0,0.7564102564102565,1.5384615384615385,1.0,42.68684387207031
llama3_1_8b_instruct,superhero_archnemesis,euclidean,all,72,24,24,1.0,90,0.0,0.125,0.05227753567948029,44.25,46.0,22.407594680786133
llama3_1_8b_instruct,superhero_person,euclidean,all,75,25,25,1.0,100,0.04,0.16,0.0911910275976552,49.48,47.0,23.973236083984375
llama3_1_8b_instruct,task_done_by_tool,euclidean,all,39,13,13,1.0,51,0.0,0.23076923076923078,0.14697495491323756,23.846153846153847,27.0,30.774324417114258
llama3_1_8b_instruct,verb_past_tense,euclidean,all,57,19,19,1.0,76,0.3157894736842105,0.47368421052631576,0.3789090796411875,28.526315789473685,38.0,35.134090423583984
llama3_1_8b_instruct,word_first_letter,euclidean,all,180,61,61,1.0,25,0.4426229508196721,0.8524590163934426,0.5906855576117871,4.590163934426229,2.0,40.1234016418457
llama3_1_8b_instruct,word_last_letter,euclidean,all,180,61,61,1.0,18,0.29508196721311475,0.8688524590163934,0.47474043020089296,4.622950819672131,3.0,40.130958557128906
llama3_1_8b_instruct,word_sentiment,euclidean,all,45,15,15,1.0,3,0.2,1.0,0.5333333333333332,2.2,2.0,43.75757598876953
