model_key,relation_key,metric,candidate_source,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
mistral_7b_instruct,adj_antonym,euclidean,all,75,25,25,1.0,95,0.0,0.12,0.05742179464791114,38.44,26.0,18.225740432739258
mistral_7b_instruct,adj_comparative,euclidean,all,51,17,17,1.0,57,0.23529411764705882,0.29411764705882354,0.27264631072055795,22.11764705882353,13.0,17.39694595336914
mistral_7b_instruct,adj_superlative,euclidean,all,60,20,20,1.0,79,0.05,0.1,0.08074358339724388,38.0,39.0,16.613876342773438
mistral_7b_instruct,company_ceo,euclidean,all,223,75,75,1.0,287,0.0,0.04,0.023515089952469835,139.10666666666665,145.0,9.45034122467041
mistral_7b_instruct,company_hq,euclidean,all,505,169,169,1.0,163,0.16568047337278108,0.40828402366863903,0.23260352203795356,35.35502958579882,21.0,15.541241645812988
mistral_7b_instruct,landmark_in_country,euclidean,all,627,209,209,1.0,91,0.1291866028708134,0.49760765550239233,0.21757229412806758,20.119617224880383,11.0,18.7533016204834
mistral_7b_instruct,landmark_on_continent,euclidean,all,710,237,237,1.0,5,0.7426160337552743,1.0,0.8159634317862164,1.6877637130801688,1.0,15.795795440673828
mistral_7b_instruct,object_superclass,euclidean,all,57,19,19,1.0,10,0.42105263157894735,1.0,0.5901002506265665,2.9473684210526314,2.0,18.027124404907227
mistral_7b_instruct,occupation_age,euclidean,all,33,12,12,1.0,2,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,20.137222290039062
mistral_7b_instruct,person_father,euclidean,all,743,248,248,1.0,968,0.004032258064516129,0.03225806451612903,0.01651076380644594,401.38709677419354,400.0,9.209912300109863
mistral_7b_instruct,person_mother,euclidean,all,745,249,249,1.0,962,0.0,0.012048192771084338,0.007090168079751921,438.5020080321285,445.0,8.281094551086426
mistral_7b_instruct,person_native_language,euclidean,all,689,230,230,1.0,30,0.6478260869565218,0.9739130434782609,0.7634922824404922,2.273913043478261,1.0,20.55303192138672
mistral_7b_instruct,person_occupation,euclidean,all,615,206,206,1.0,31,0.33495145631067963,0.883495145631068,0.5083605299005508,4.927184466019417,2.0,17.8813533782959
mistral_7b_instruct,person_plays_instrument,euclidean,all,384,129,129,1.0,6,0.4108527131782946,1.0,0.6524547803617571,1.945736434108527,2.0,18.534574508666992
mistral_7b_instruct,person_plays_position_in_sport,euclidean,all,714,238,238,1.0,14,0.42016806722689076,0.9873949579831933,0.5979357360659883,2.8739495798319328,2.0,16.231666564941406
mistral_7b_instruct,person_plays_pro_sport,euclidean,all,238,80,80,1.0,5,0.225,1.0,0.4820833333333333,2.925,3.0,19.77431869506836
mistral_7b_instruct,person_university,euclidean,all,68,23,23,1.0,69,0.0,0.21739130434782608,0.060344970472825096,32.17391304347826,27.0,11.871581077575684
mistral_7b_instruct,pokemon_evolutions,euclidean,all,33,11,11,1.0,44,0.0,0.09090909090909091,0.05276822876386624,24.545454545454547,26.0,12.463515281677246
mistral_7b_instruct,product_by_company,euclidean,all,391,131,131,1.0,30,0.26717557251908397,0.7709923664122137,0.39451397265971067,7.458015267175573,5.0,18.498825073242188
mistral_7b_instruct,star_constellation,euclidean,all,271,91,91,1.0,31,0.10989010989010989,0.7912087912087912,0.2574875445759553,7.945054945054945,6.0,13.846772193908691
mistral_7b_instruct,substance_phase,euclidean,all,37,13,13,1.0,3,0.5384615384615384,1.0,0.7564102564102565,1.5384615384615385,1.0,20.782100677490234
mistral_7b_instruct,superhero_archnemesis,euclidean,all,72,24,24,1.0,90,0.0,0.0,0.029822154930367897,45.708333333333336,47.0,11.516437530517578
mistral_7b_instruct,superhero_person,euclidean,all,75,25,25,1.0,100,0.04,0.16,0.09626627800722468,50.6,50.0,11.911033630371094
mistral_7b_instruct,task_done_by_tool,euclidean,all,39,13,13,1.0,51,0.0,0.07692307692307693,0.057246010519573634,31.692307692307693,36.0,16.584434509277344
mistral_7b_instruct,verb_past_tense,euclidean,all,57,19,19,1.0,76,0.42105263157894735,0.7368421052631579,0.506721348826612,16.105263157894736,3.0,19.826679229736328
mistral_7b_instruct,word_first_letter,euclidean,all,180,61,61,1.0,25,0.08196721311475409,0.7704918032786885,0.2711983347735516,7.065573770491803,5.0,20.15165138244629
mistral_7b_instruct,word_last_letter,euclidean,all,180,61,61,1.0,18,0.21311475409836064,0.8524590163934426,0.40232151728053367,4.901639344262295,4.0,19.481443405151367
mistral_7b_instruct,word_sentiment,euclidean,all,45,15,15,1.0,3,0.2,1.0,0.5333333333333332,2.2,2.0,20.796863555908203
