model_key,relation_key,metric,candidate_source,query_mode,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
llama3_1_8b_instruct,adj_antonym,cosine,train,subject_only,75,25,2,0.08,72,0.5,1.0,0.55,5.5,10.0,35.51144790649414
llama3_1_8b_instruct,adj_comparative,cosine,train,subject_only,51,17,3,0.17647058823529413,43,1.0,1.0,1.0,1.0,1.0,31.41180992126465
llama3_1_8b_instruct,adj_superlative,cosine,train,subject_only,60,20,1,0.05,60,0.0,0.0,0.05,20.0,20.0,30.85274314880371
llama3_1_8b_instruct,company_ceo,cosine,train,subject_only,223,75,6,0.08,220,0.5,0.8333333333333334,0.576388888888889,6.166666666666667,4.0,17.242094039916992
llama3_1_8b_instruct,company_hq,cosine,train,subject_only,505,169,146,0.863905325443787,141,0.1095890410958904,0.4452054794520548,0.2133141917633219,28.246575342465754,17.0,27.36388397216797
llama3_1_8b_instruct,landmark_in_country,cosine,train,subject_only,627,209,197,0.9425837320574163,79,0.030456852791878174,0.18781725888324874,0.08845595673882571,42.243654822335024,51.0,34.80579376220703
llama3_1_8b_instruct,landmark_on_continent,cosine,train,subject_only,710,237,237,1.0,5,0.7510548523206751,1.0,0.8364978902953587,1.5358649789029535,1.0,32.00259780883789
llama3_1_8b_instruct,object_superclass,cosine,train,subject_only,57,19,18,0.9473684210526315,9,0.1111111111111111,1.0,0.35370370370370374,3.611111111111111,4.0,36.92384719848633
llama3_1_8b_instruct,occupation_age,cosine,train,subject_only,33,12,12,1.0,2,0.5833333333333334,1.0,0.7916666666666666,1.4166666666666667,1.0,41.96076965332031
llama3_1_8b_instruct,person_father,cosine,train,subject_only,743,248,6,0.024193548387096774,727,0.6666666666666666,1.0,0.7916666666666666,1.6666666666666667,1.0,17.830015182495117
llama3_1_8b_instruct,person_mother,cosine,train,subject_only,745,249,16,0.0642570281124498,729,0.3125,0.8125,0.5135343822843823,5.875,2.0,16.1663875579834
llama3_1_8b_instruct,person_native_language,cosine,train,subject_only,689,230,225,0.9782608695652174,27,0.05333333333333334,0.39555555555555555,0.1649645702814592,11.395555555555555,12.0,40.54112243652344
llama3_1_8b_instruct,person_occupation,cosine,train,subject_only,615,206,204,0.9902912621359223,29,0.049019607843137254,0.27941176470588236,0.13457058437733477,15.598039215686274,16.0,34.966651916503906
llama3_1_8b_instruct,person_plays_instrument,cosine,train,subject_only,384,129,129,1.0,6,0.13178294573643412,1.0,0.3781653746770026,3.5426356589147288,4.0,31.080455780029297
llama3_1_8b_instruct,person_plays_position_in_sport,cosine,train,subject_only,714,238,237,0.9957983193277311,13,0.14345991561181434,0.9915611814345991,0.43100961392100645,3.3375527426160336,3.0,32.41520309448242
llama3_1_8b_instruct,person_plays_pro_sport,cosine,train,subject_only,238,80,80,1.0,5,0.525,1.0,0.6822916666666671,2.2,1.0,34.303409576416016
llama3_1_8b_instruct,person_university,cosine,train,subject_only,68,23,5,0.21739130434782608,52,0.0,0.2,0.08840048840048839,12.4,12.0,23.104068756103516
llama3_1_8b_instruct,pokemon_evolutions,cosine,train,subject_only,33,11,0,0.0,33,nan,nan,nan,nan,nan,23.734580993652344
llama3_1_8b_instruct,product_by_company,cosine,train,subject_only,391,131,129,0.9847328244274809,28,0.40310077519379844,0.9147286821705426,0.5694495959068018,3.7674418604651163,2.0,34.93598175048828
llama3_1_8b_instruct,star_constellation,cosine,train,subject_only,271,91,87,0.9560439560439561,28,0.7011494252873564,0.8850574712643678,0.7710692532244257,3.8275862068965516,1.0,28.898395538330078
llama3_1_8b_instruct,substance_phase,cosine,train,subject_only,37,13,13,1.0,3,0.6153846153846154,1.0,0.7948717948717949,1.4615384615384615,1.0,42.68684387207031
llama3_1_8b_instruct,superhero_archnemesis,cosine,train,subject_only,72,24,3,0.125,69,0.0,0.3333333333333333,0.13927738927738928,9.333333333333334,11.0,22.407594680786133
llama3_1_8b_instruct,superhero_person,cosine,train,subject_only,75,25,0,0.0,75,nan,nan,nan,nan,nan,23.973236083984375
llama3_1_8b_instruct,task_done_by_tool,cosine,train,subject_only,39,13,0,0.0,38,nan,nan,nan,nan,nan,30.774324417114258
llama3_1_8b_instruct,verb_past_tense,cosine,train,subject_only,57,19,0,0.0,57,nan,nan,nan,nan,nan,35.134090423583984
llama3_1_8b_instruct,word_first_letter,cosine,train,subject_only,180,61,61,1.0,25,0.5081967213114754,0.9344262295081968,0.6373362360344038,3.2459016393442623,1.0,40.1234016418457
llama3_1_8b_instruct,word_last_letter,cosine,train,subject_only,180,61,61,1.0,18,0.29508196721311475,0.9836065573770492,0.5613843351548269,2.737704918032787,2.0,40.130958557128906
llama3_1_8b_instruct,word_sentiment,cosine,train,subject_only,45,15,15,1.0,3,0.7333333333333333,1.0,0.8444444444444446,1.4,1.0,43.75757598876953
