model_key,relation_key,metric,candidate_source,query_mode,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
mistral_7b_instruct,adj_antonym,cosine,train,subject_only,75,25,2,0.08,72,1.0,1.0,1.0,1.0,1.0,18.225740432739258
mistral_7b_instruct,adj_comparative,cosine,train,subject_only,51,17,3,0.17647058823529413,43,0.6666666666666666,1.0,0.8333333333333334,1.3333333333333333,1.0,17.39694595336914
mistral_7b_instruct,adj_superlative,cosine,train,subject_only,60,20,1,0.05,60,0.0,0.0,0.023255813953488372,43.0,43.0,16.613876342773438
mistral_7b_instruct,company_ceo,cosine,train,subject_only,223,75,6,0.08,220,0.3333333333333333,0.6666666666666666,0.48629964806435394,10.5,3.0,9.45034122467041
mistral_7b_instruct,company_hq,cosine,train,subject_only,505,169,146,0.863905325443787,141,0.00684931506849315,0.1232876712328767,0.051263740628306784,64.5,59.0,15.541241645812988
mistral_7b_instruct,landmark_in_country,cosine,train,subject_only,627,209,197,0.9425837320574163,79,0.01015228426395939,0.050761421319796954,0.041516967243133696,45.776649746192895,48.0,18.7533016204834
mistral_7b_instruct,landmark_on_continent,cosine,train,subject_only,710,237,237,1.0,5,0.7172995780590717,1.0,0.8079465541490857,1.6793248945147679,1.0,15.795795440673828
mistral_7b_instruct,object_superclass,cosine,train,subject_only,57,19,18,0.9473684210526315,9,0.2222222222222222,1.0,0.3898809523809524,4.277777777777778,5.0,18.027124404907227
mistral_7b_instruct,occupation_age,cosine,train,subject_only,33,12,12,1.0,2,0.6666666666666666,1.0,0.8333333333333334,1.3333333333333333,1.0,20.137222290039062
mistral_7b_instruct,person_father,cosine,train,subject_only,743,248,6,0.024193548387096774,727,0.16666666666666666,0.8333333333333334,0.3597222222222222,7.0,5.0,9.209912300109863
mistral_7b_instruct,person_mother,cosine,train,subject_only,745,249,16,0.0642570281124498,729,0.0625,0.625,0.2719404829239388,38.6875,7.0,8.281094551086426
mistral_7b_instruct,person_native_language,cosine,train,subject_only,689,230,225,0.9782608695652174,27,0.0,0.02666666666666667,0.06404650480147395,16.2,16.0,20.55303192138672
mistral_7b_instruct,person_occupation,cosine,train,subject_only,615,206,204,0.9902912621359223,29,0.024509803921568627,0.3333333333333333,0.1180584498578981,14.25,15.0,17.8813533782959
mistral_7b_instruct,person_plays_instrument,cosine,train,subject_only,384,129,129,1.0,6,0.06976744186046512,1.0,0.3036175710594315,4.108527131782946,4.0,18.534574508666992
mistral_7b_instruct,person_plays_position_in_sport,cosine,train,subject_only,714,238,237,0.9957983193277311,13,0.5358649789029536,0.9915611814345991,0.6920100644784187,2.3333333333333335,1.0,16.231666564941406
mistral_7b_instruct,person_plays_pro_sport,cosine,train,subject_only,238,80,80,1.0,5,0.35,1.0,0.5931249999999999,2.3375,2.0,19.77431869506836
mistral_7b_instruct,person_university,cosine,train,subject_only,68,23,5,0.21739130434782608,52,0.0,0.4,0.13970760233918128,23.0,30.0,11.871581077575684
mistral_7b_instruct,pokemon_evolutions,cosine,train,subject_only,33,11,0,0.0,33,nan,nan,nan,nan,nan,12.463515281677246
mistral_7b_instruct,product_by_company,cosine,train,subject_only,391,131,129,0.9847328244274809,28,0.007751937984496124,0.40310077519379844,0.11356486527298629,13.085271317829458,12.0,18.498825073242188
mistral_7b_instruct,star_constellation,cosine,train,subject_only,271,91,87,0.9560439560439561,28,0.6551724137931034,0.9425287356321839,0.7427963958136374,2.6666666666666665,1.0,13.846772193908691
mistral_7b_instruct,substance_phase,cosine,train,subject_only,37,13,13,1.0,3,0.38461538461538464,1.0,0.6282051282051282,2.0,2.0,20.782100677490234
mistral_7b_instruct,superhero_archnemesis,cosine,train,subject_only,72,24,3,0.125,69,0.0,0.3333333333333333,0.19851851851851854,15.0,18.0,11.516437530517578
mistral_7b_instruct,superhero_person,cosine,train,subject_only,75,25,0,0.0,75,nan,nan,nan,nan,nan,11.911033630371094
mistral_7b_instruct,task_done_by_tool,cosine,train,subject_only,39,13,0,0.0,38,nan,nan,nan,nan,nan,16.584434509277344
mistral_7b_instruct,verb_past_tense,cosine,train,subject_only,57,19,0,0.0,57,nan,nan,nan,nan,nan,19.826679229736328
mistral_7b_instruct,word_first_letter,cosine,train,subject_only,180,61,61,1.0,25,0.4918032786885246,0.9180327868852459,0.6602834527521124,3.459016393442623,2.0,20.15165138244629
mistral_7b_instruct,word_last_letter,cosine,train,subject_only,180,61,61,1.0,18,0.13114754098360656,0.8688524590163934,0.3288017671817092,5.622950819672131,4.0,19.481443405151367
mistral_7b_instruct,word_sentiment,cosine,train,subject_only,45,15,15,1.0,3,0.4,1.0,0.7,1.6,2.0,20.796863555908203
