model_key,relation_key,metric,candidate_source,query_mode,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
gemma_7b_it,adj_antonym,cosine,all,subject_only,75,25,25,1.0,95,0.68,0.96,0.7909999999999999,3.12,1.0,38.486019134521484
gemma_7b_it,adj_comparative,cosine,all,subject_only,51,17,17,1.0,57,0.9411764705882353,1.0,0.9705882352941176,1.0588235294117647,1.0,32.5128288269043
gemma_7b_it,adj_superlative,cosine,all,subject_only,60,20,20,1.0,79,0.95,1.0,0.9666666666666668,1.1,1.0,34.06837844848633
gemma_7b_it,company_ceo,cosine,all,subject_only,223,75,75,1.0,287,0.5066666666666667,0.88,0.6517253396029259,5.826666666666667,1.0,18.236766815185547
gemma_7b_it,company_hq,cosine,all,subject_only,505,169,169,1.0,163,0.1952662721893491,0.46745562130177515,0.300535973359005,29.72189349112426,13.0,33.673336029052734
gemma_7b_it,landmark_in_country,cosine,all,subject_only,627,209,209,1.0,91,0.11004784688995216,0.4019138755980861,0.20582653949359328,24.617224880382775,17.0,44.4102897644043
gemma_7b_it,landmark_on_continent,cosine,all,subject_only,710,237,237,1.0,5,0.7426160337552743,1.0,0.8487341772151901,1.4177215189873418,1.0,38.043724060058594
gemma_7b_it,object_superclass,cosine,all,subject_only,57,19,19,1.0,10,0.6842105263157895,1.0,0.8263157894736842,1.4736842105263157,1.0,44.099483489990234
gemma_7b_it,occupation_age,cosine,all,subject_only,33,12,12,1.0,2,0.5833333333333334,1.0,0.7916666666666666,1.4166666666666667,1.0,43.471458435058594
gemma_7b_it,person_father,cosine,all,subject_only,743,248,248,1.0,968,0.8951612903225806,0.9879032258064516,0.9303993617521904,2.129032258064516,1.0,25.215166091918945
gemma_7b_it,person_mother,cosine,all,subject_only,745,249,249,1.0,962,0.6907630522088354,0.8955823293172691,0.7601145870768781,10.514056224899598,1.0,22.030179977416992
gemma_7b_it,person_native_language,cosine,all,subject_only,689,230,230,1.0,30,0.14782608695652175,0.7652173913043478,0.3084291922429587,7.395652173913043,5.0,44.724544525146484
gemma_7b_it,person_occupation,cosine,all,subject_only,615,206,206,1.0,31,0.05339805825242718,0.33980582524271846,0.14835811946276825,13.66504854368932,14.0,43.50857925415039
gemma_7b_it,person_plays_instrument,cosine,all,subject_only,384,129,129,1.0,6,0.20930232558139536,1.0,0.4624031007751942,3.0,3.0,42.36960220336914
gemma_7b_it,person_plays_position_in_sport,cosine,all,subject_only,714,238,238,1.0,14,0.19747899159663865,0.8445378151260504,0.36163887466408506,5.684873949579832,5.0,34.94256591796875
gemma_7b_it,person_plays_pro_sport,cosine,all,subject_only,238,80,80,1.0,5,0.8,1.0,0.8743750000000002,1.375,1.0,43.29558181762695
gemma_7b_it,person_university,cosine,all,subject_only,68,23,23,1.0,69,0.43478260869565216,0.9130434782608695,0.5762422360248447,5.173913043478261,2.0,27.718868255615234
gemma_7b_it,pokemon_evolutions,cosine,all,subject_only,33,11,11,1.0,44,0.8181818181818182,0.9090909090909091,0.8403263403263402,2.5454545454545454,1.0,26.39432144165039
gemma_7b_it,product_by_company,cosine,all,subject_only,391,131,131,1.0,30,0.7404580152671756,0.9541984732824428,0.815769556990931,2.50381679389313,1.0,34.755859375
gemma_7b_it,star_constellation,cosine,all,subject_only,271,91,91,1.0,31,0.2967032967032967,0.6813186813186813,0.40217541276016106,8.32967032967033,6.0,35.99850845336914
gemma_7b_it,substance_phase,cosine,all,subject_only,37,13,13,1.0,3,0.9230769230769231,1.0,0.9615384615384616,1.0769230769230769,1.0,44.08469009399414
gemma_7b_it,superhero_archnemesis,cosine,all,subject_only,72,24,24,1.0,90,0.5833333333333334,0.8333333333333334,0.6778110778110777,4.083333333333333,1.0,24.871849060058594
gemma_7b_it,superhero_person,cosine,all,subject_only,75,25,25,1.0,100,0.76,0.96,0.8365142857142857,3.44,1.0,26.719717025756836
gemma_7b_it,task_done_by_tool,cosine,all,subject_only,39,13,13,1.0,51,0.8461538461538461,1.0,0.9230769230769231,1.1538461538461537,1.0,34.48378372192383
gemma_7b_it,verb_past_tense,cosine,all,subject_only,57,19,19,1.0,76,1.0,1.0,1.0,1.0,1.0,38.55455780029297
gemma_7b_it,word_first_letter,cosine,all,subject_only,180,61,61,1.0,25,0.6065573770491803,0.9672131147540983,0.7100377309393703,2.6721311475409837,1.0,40.63949203491211
gemma_7b_it,word_last_letter,cosine,all,subject_only,180,61,61,1.0,18,0.6065573770491803,0.9836065573770492,0.7332943013270883,2.2459016393442623,1.0,41.93606948852539
gemma_7b_it,word_sentiment,cosine,all,subject_only,45,15,15,1.0,3,0.8,1.0,0.8777777777777779,1.3333333333333333,1.0,47.03191375732422
