model_key,relation_key,metric,candidate_source,query_mode,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
llama3_1_8b_instruct,adj_antonym,cosine,all,subject_only,75,25,25,1.0,95,0.48,0.92,0.6409271708683474,5.28,2.0,35.51144790649414
llama3_1_8b_instruct,adj_comparative,cosine,all,subject_only,51,17,17,1.0,57,0.4117647058823529,0.7647058823529411,0.5051003734827264,6.411764705882353,4.0,31.41180992126465
llama3_1_8b_instruct,adj_superlative,cosine,all,subject_only,60,20,20,1.0,79,0.75,0.9,0.7725508971704624,4.85,1.0,30.85274314880371
llama3_1_8b_instruct,company_ceo,cosine,all,subject_only,223,75,75,1.0,287,0.13333333333333333,0.3466666666666667,0.21453997997540705,34.78666666666667,17.0,17.242094039916992
llama3_1_8b_instruct,company_hq,cosine,all,subject_only,505,169,169,1.0,163,0.1301775147928994,0.46745562130177515,0.23737793332005133,26.958579881656803,12.0,27.36388397216797
llama3_1_8b_instruct,landmark_in_country,cosine,all,subject_only,627,209,209,1.0,91,0.04784688995215311,0.20095693779904306,0.10829396181303345,47.464114832535884,56.0,34.80579376220703
llama3_1_8b_instruct,landmark_on_continent,cosine,all,subject_only,710,237,237,1.0,5,0.7510548523206751,1.0,0.8327707454289733,1.5696202531645569,1.0,32.00259780883789
llama3_1_8b_instruct,object_superclass,cosine,all,subject_only,57,19,19,1.0,10,0.05263157894736842,1.0,0.3219298245614035,3.736842105263158,4.0,36.92384719848633
llama3_1_8b_instruct,occupation_age,cosine,all,subject_only,33,12,12,1.0,2,0.5833333333333334,1.0,0.7916666666666666,1.4166666666666667,1.0,41.96076965332031
llama3_1_8b_instruct,person_father,cosine,all,subject_only,743,248,248,1.0,968,0.4153225806451613,0.6693548387096774,0.5023979803606362,29.955645161290324,3.0,17.830015182495117
llama3_1_8b_instruct,person_mother,cosine,all,subject_only,745,249,249,1.0,962,0.1566265060240964,0.39759036144578314,0.23975607119838094,96.55421686746988,24.0,16.1663875579834
llama3_1_8b_instruct,person_native_language,cosine,all,subject_only,689,230,230,1.0,30,0.043478260869565216,0.3217391304347826,0.14969883331509212,13.404347826086957,14.0,40.54112243652344
llama3_1_8b_instruct,person_occupation,cosine,all,subject_only,615,206,206,1.0,31,0.05825242718446602,0.2766990291262136,0.1417771121028046,16.20873786407767,16.0,34.966651916503906
llama3_1_8b_instruct,person_plays_instrument,cosine,all,subject_only,384,129,129,1.0,6,0.13953488372093023,1.0,0.38191214470284235,3.5193798449612403,4.0,31.080455780029297
llama3_1_8b_instruct,person_plays_position_in_sport,cosine,all,subject_only,714,238,238,1.0,14,0.11764705882352941,0.9747899159663865,0.3776534856366789,3.936974789915966,3.0,32.41520309448242
llama3_1_8b_instruct,person_plays_pro_sport,cosine,all,subject_only,238,80,80,1.0,5,0.5375,1.0,0.688541666666667,2.1875,1.0,34.303409576416016
llama3_1_8b_instruct,person_university,cosine,all,subject_only,68,23,23,1.0,69,0.13043478260869565,0.6086956521739131,0.2365702838613055,13.217391304347826,9.0,23.104068756103516
llama3_1_8b_instruct,pokemon_evolutions,cosine,all,subject_only,33,11,11,1.0,44,0.36363636363636365,0.9090909090909091,0.5481060606060605,4.090909090909091,2.0,23.734580993652344
llama3_1_8b_instruct,product_by_company,cosine,all,subject_only,391,131,131,1.0,30,0.4198473282442748,0.9083969465648855,0.5837590208773417,3.66412213740458,2.0,34.93598175048828
llama3_1_8b_instruct,star_constellation,cosine,all,subject_only,271,91,91,1.0,31,0.5934065934065934,0.8791208791208791,0.7052235404653909,4.2967032967032965,1.0,28.898395538330078
llama3_1_8b_instruct,substance_phase,cosine,all,subject_only,37,13,13,1.0,3,0.5384615384615384,1.0,0.7692307692307693,1.4615384615384615,1.0,42.68684387207031
llama3_1_8b_instruct,superhero_archnemesis,cosine,all,subject_only,72,24,24,1.0,90,0.25,0.5416666666666666,0.3721400012025012,15.5,6.0,22.407594680786133
llama3_1_8b_instruct,superhero_person,cosine,all,subject_only,75,25,25,1.0,100,0.12,0.44,0.20956048843440048,16.04,12.0,23.973236083984375
llama3_1_8b_instruct,task_done_by_tool,cosine,all,subject_only,39,13,13,1.0,51,0.46153846153846156,0.8461538461538461,0.6207977207977208,4.615384615384615,2.0,30.774324417114258
llama3_1_8b_instruct,verb_past_tense,cosine,all,subject_only,57,19,19,1.0,76,0.2631578947368421,0.5789473684210527,0.34088725601883485,8.789473684210526,9.0,35.134090423583984
llama3_1_8b_instruct,word_first_letter,cosine,all,subject_only,180,61,61,1.0,25,0.5081967213114754,0.9672131147540983,0.6530705178246161,2.918032786885246,1.0,40.1234016418457
llama3_1_8b_instruct,word_last_letter,cosine,all,subject_only,180,61,61,1.0,18,0.3114754098360656,0.9836065573770492,0.5724043715846994,2.639344262295082,2.0,40.130958557128906
llama3_1_8b_instruct,word_sentiment,cosine,all,subject_only,45,15,15,1.0,3,0.7333333333333333,1.0,0.8444444444444446,1.4,1.0,43.75757598876953
