model_key,relation_key,metric,candidate_source,query_mode,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
mistral_7b_instruct,adj_antonym,cosine,all,subject_only,75,25,25,1.0,95,0.48,0.96,0.6463982683982684,2.72,2.0,18.225740432739258
mistral_7b_instruct,adj_comparative,cosine,all,subject_only,51,17,17,1.0,57,0.5294117647058824,0.7647058823529411,0.611933596968199,5.529411764705882,1.0,17.39694595336914
mistral_7b_instruct,adj_superlative,cosine,all,subject_only,60,20,20,1.0,79,0.55,0.7,0.6019687728463818,10.3,1.0,16.613876342773438
mistral_7b_instruct,company_ceo,cosine,all,subject_only,223,75,75,1.0,287,0.06666666666666667,0.38666666666666666,0.15026601320578514,51.54666666666667,27.0,9.45034122467041
mistral_7b_instruct,company_hq,cosine,all,subject_only,505,169,169,1.0,163,0.023668639053254437,0.15384615384615385,0.06741863767981253,64.73372781065089,60.0,15.541241645812988
mistral_7b_instruct,landmark_in_country,cosine,all,subject_only,627,209,209,1.0,91,0.03349282296650718,0.08133971291866028,0.06551625047104709,53.31578947368421,57.0,18.7533016204834
mistral_7b_instruct,landmark_on_continent,cosine,all,subject_only,710,237,237,1.0,5,0.7172995780590717,1.0,0.8081575246132207,1.6751054852320675,1.0,15.795795440673828
mistral_7b_instruct,object_superclass,cosine,all,subject_only,57,19,19,1.0,10,0.15789473684210525,1.0,0.3686299081035923,4.2631578947368425,5.0,18.027124404907227
mistral_7b_instruct,occupation_age,cosine,all,subject_only,33,12,12,1.0,2,0.6666666666666666,1.0,0.8333333333333334,1.3333333333333333,1.0,20.137222290039062
mistral_7b_instruct,person_father,cosine,all,subject_only,743,248,248,1.0,968,0.10887096774193548,0.3387096774193548,0.18268516482483943,101.86290322580645,26.0,9.209912300109863
mistral_7b_instruct,person_mother,cosine,all,subject_only,745,249,249,1.0,962,0.05220883534136546,0.20883534136546184,0.11640580134766093,165.18875502008032,90.0,8.281094551086426
mistral_7b_instruct,person_native_language,cosine,all,subject_only,689,230,230,1.0,30,0.008695652173913044,0.021739130434782608,0.06471095573201441,18.03913043478261,18.0,20.55303192138672
mistral_7b_instruct,person_occupation,cosine,all,subject_only,615,206,206,1.0,31,0.02912621359223301,0.23786407766990292,0.11104142792240443,15.674757281553399,17.0,17.8813533782959
mistral_7b_instruct,person_plays_instrument,cosine,all,subject_only,384,129,129,1.0,6,0.06976744186046512,1.0,0.3015503875968992,4.116279069767442,4.0,18.534574508666992
mistral_7b_instruct,person_plays_position_in_sport,cosine,all,subject_only,714,238,238,1.0,14,0.3067226890756303,0.9831932773109243,0.5399653684317548,2.9873949579831933,2.0,16.231666564941406
mistral_7b_instruct,person_plays_pro_sport,cosine,all,subject_only,238,80,80,1.0,5,0.3375,1.0,0.5852083333333333,2.375,2.0,19.77431869506836
mistral_7b_instruct,person_university,cosine,all,subject_only,68,23,23,1.0,69,0.0,0.391304347826087,0.1509796099585289,20.869565217391305,20.0,11.871581077575684
mistral_7b_instruct,pokemon_evolutions,cosine,all,subject_only,33,11,11,1.0,44,0.18181818181818182,0.36363636363636365,0.27617079889807156,13.909090909090908,14.0,12.463515281677246
mistral_7b_instruct,product_by_company,cosine,all,subject_only,391,131,131,1.0,30,0.030534351145038167,0.3893129770992366,0.12420025131093465,13.473282442748092,13.0,18.498825073242188
mistral_7b_instruct,star_constellation,cosine,all,subject_only,271,91,91,1.0,31,0.6153846153846154,0.9120879120879121,0.7167520000082176,3.131868131868132,1.0,13.846772193908691
mistral_7b_instruct,substance_phase,cosine,all,subject_only,37,13,13,1.0,3,0.38461538461538464,1.0,0.6153846153846154,2.076923076923077,2.0,20.782100677490234
mistral_7b_instruct,superhero_archnemesis,cosine,all,subject_only,72,24,24,1.0,90,0.125,0.4583333333333333,0.23321647737365261,23.375,14.0,11.516437530517578
mistral_7b_instruct,superhero_person,cosine,all,subject_only,75,25,25,1.0,100,0.12,0.44,0.23772926732030128,30.6,12.0,11.911033630371094
mistral_7b_instruct,task_done_by_tool,cosine,all,subject_only,39,13,13,1.0,51,0.38461538461538464,0.9230769230769231,0.6025974025974026,3.3076923076923075,2.0,16.584434509277344
mistral_7b_instruct,verb_past_tense,cosine,all,subject_only,57,19,19,1.0,76,0.8421052631578947,1.0,0.9005847953216374,1.5263157894736843,1.0,19.826679229736328
mistral_7b_instruct,word_first_letter,cosine,all,subject_only,180,61,61,1.0,25,0.5081967213114754,0.9016393442622951,0.6646355214484433,3.5737704918032787,1.0,20.15165138244629
mistral_7b_instruct,word_last_letter,cosine,all,subject_only,180,61,61,1.0,18,0.11475409836065574,0.8524590163934426,0.3195728813134791,5.524590163934426,4.0,19.481443405151367
mistral_7b_instruct,word_sentiment,cosine,all,subject_only,45,15,15,1.0,3,0.4,1.0,0.6888888888888889,1.6666666666666667,2.0,20.796863555908203
