model_key,relation_key,metric,candidate_source,query_mode,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
llama3_1_8b_instruct,adj_antonym,cosine,train,affine_full,75,25,2,0.08,72,0.5,0.5,0.5108695652173914,23.5,46.0,35.51144790649414
llama3_1_8b_instruct,adj_comparative,cosine,train,affine_full,51,17,3,0.17647058823529413,43,1.0,1.0,1.0,1.0,1.0,31.41180992126465
llama3_1_8b_instruct,adj_superlative,cosine,train,affine_full,60,20,1,0.05,60,1.0,1.0,1.0,1.0,1.0,30.85274314880371
llama3_1_8b_instruct,company_ceo,cosine,train,affine_full,223,75,6,0.08,220,0.5,1.0,0.6875,2.5,2.0,17.242094039916992
llama3_1_8b_instruct,company_hq,cosine,train,affine_full,505,169,146,0.863905325443787,141,0.4931506849315068,0.7534246575342466,0.596011190618822,11.123287671232877,2.0,27.36388397216797
llama3_1_8b_instruct,landmark_in_country,cosine,train,affine_full,627,209,197,0.9425837320574163,79,0.700507614213198,0.8578680203045685,0.7601013372767623,4.614213197969543,1.0,34.80579376220703
llama3_1_8b_instruct,landmark_on_continent,cosine,train,affine_full,710,237,237,1.0,5,0.9535864978902954,1.0,0.9718706047819973,1.0843881856540085,1.0,32.00259780883789
llama3_1_8b_instruct,object_superclass,cosine,train,affine_full,57,19,18,0.9473684210526315,9,0.7222222222222222,1.0,0.7962962962962963,2.0,1.0,36.92384719848633
llama3_1_8b_instruct,occupation_age,cosine,train,affine_full,33,12,12,1.0,2,0.8333333333333334,1.0,0.9166666666666666,1.1666666666666667,1.0,41.96076965332031
llama3_1_8b_instruct,person_father,cosine,train,affine_full,743,248,6,0.024193548387096774,727,0.8333333333333334,1.0,0.9166666666666666,1.1666666666666667,1.0,17.830015182495117
llama3_1_8b_instruct,person_mother,cosine,train,affine_full,745,249,16,0.0642570281124498,729,0.875,1.0,0.921875,1.25,1.0,16.1663875579834
llama3_1_8b_instruct,person_native_language,cosine,train,affine_full,689,230,225,0.9782608695652174,27,0.9511111111111111,0.9866666666666667,0.9673155689626278,1.2533333333333334,1.0,40.54112243652344
llama3_1_8b_instruct,person_occupation,cosine,train,affine_full,615,206,204,0.9902912621359223,29,0.5245098039215687,0.9264705882352942,0.6595919188024453,3.2941176470588234,1.0,34.966651916503906
llama3_1_8b_instruct,person_plays_instrument,cosine,train,affine_full,384,129,129,1.0,6,0.6434108527131783,1.0,0.7905684754521966,1.5813953488372092,1.0,31.080455780029297
llama3_1_8b_instruct,person_plays_position_in_sport,cosine,train,affine_full,714,238,237,0.9957983193277311,13,0.8270042194092827,0.9915611814345991,0.888686442483911,1.489451476793249,1.0,32.41520309448242
llama3_1_8b_instruct,person_plays_pro_sport,cosine,train,affine_full,238,80,80,1.0,5,0.925,1.0,0.95625,1.1125,1.0,34.303409576416016
llama3_1_8b_instruct,person_university,cosine,train,affine_full,68,23,5,0.21739130434782608,52,0.0,0.4,0.1153113553113553,14.0,14.0,23.104068756103516
llama3_1_8b_instruct,pokemon_evolutions,cosine,train,affine_full,33,11,0,0.0,33,nan,nan,nan,nan,nan,23.734580993652344
llama3_1_8b_instruct,product_by_company,cosine,train,affine_full,391,131,129,0.9847328244274809,28,0.8217054263565892,0.9689922480620154,0.876381538919456,1.8914728682170543,1.0,34.93598175048828
llama3_1_8b_instruct,star_constellation,cosine,train,affine_full,271,91,87,0.9560439560439561,28,0.8390804597701149,0.9080459770114943,0.8607709227891784,2.5632183908045976,1.0,28.898395538330078
llama3_1_8b_instruct,substance_phase,cosine,train,affine_full,37,13,13,1.0,3,0.9230769230769231,1.0,0.9615384615384616,1.0769230769230769,1.0,42.68684387207031
llama3_1_8b_instruct,superhero_archnemesis,cosine,train,affine_full,72,24,3,0.125,69,0.6666666666666666,0.6666666666666666,0.6875,6.0,1.0,22.407594680786133
llama3_1_8b_instruct,superhero_person,cosine,train,affine_full,75,25,0,0.0,75,nan,nan,nan,nan,nan,23.973236083984375
llama3_1_8b_instruct,task_done_by_tool,cosine,train,affine_full,39,13,0,0.0,38,nan,nan,nan,nan,nan,30.774324417114258
llama3_1_8b_instruct,verb_past_tense,cosine,train,affine_full,57,19,0,0.0,57,nan,nan,nan,nan,nan,35.134090423583984
llama3_1_8b_instruct,word_first_letter,cosine,train,affine_full,180,61,61,1.0,25,0.9508196721311475,0.9508196721311475,0.9535230628245597,1.8852459016393444,1.0,40.1234016418457
llama3_1_8b_instruct,word_last_letter,cosine,train,affine_full,180,61,61,1.0,18,0.7377049180327869,1.0,0.8388888888888889,1.6557377049180328,1.0,40.130958557128906
llama3_1_8b_instruct,word_sentiment,cosine,train,affine_full,45,15,15,1.0,3,0.7333333333333333,1.0,0.8444444444444446,1.4,1.0,43.75757598876953
