model_key,relation_key,metric,candidate_source,query_mode,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
mistral_7b_instruct,adj_antonym,cosine,all,affine_full,75,25,25,1.0,95,0.04,0.56,0.1713486330706257,21.88,10.0,18.225740432739258
mistral_7b_instruct,adj_comparative,cosine,all,affine_full,51,17,17,1.0,57,0.23529411764705882,0.5882352941176471,0.36973101730134983,13.470588235294118,4.0,17.39694595336914
mistral_7b_instruct,adj_superlative,cosine,all,affine_full,60,20,20,1.0,79,0.05,0.5,0.2096061968068232,23.05,12.0,16.613876342773438
mistral_7b_instruct,company_ceo,cosine,all,affine_full,223,75,75,1.0,287,0.04,0.3333333333333333,0.1452371228374662,36.653333333333336,15.0,9.45034122467041
mistral_7b_instruct,company_hq,cosine,all,affine_full,505,169,169,1.0,163,0.40828402366863903,0.6568047337278107,0.48698170298396987,21.236686390532544,3.0,15.541241645812988
mistral_7b_instruct,landmark_in_country,cosine,all,affine_full,627,209,209,1.0,91,0.6267942583732058,0.8086124401913876,0.698752390921484,9.124401913875598,1.0,18.7533016204834
mistral_7b_instruct,landmark_on_continent,cosine,all,affine_full,710,237,237,1.0,5,0.9620253164556962,1.0,0.9758790436005625,1.080168776371308,1.0,15.795795440673828
mistral_7b_instruct,object_superclass,cosine,all,affine_full,57,19,19,1.0,10,0.631578947368421,1.0,0.7185463659147869,2.473684210526316,1.0,18.027124404907227
mistral_7b_instruct,occupation_age,cosine,all,affine_full,33,12,12,1.0,2,0.6666666666666666,1.0,0.8333333333333334,1.3333333333333333,1.0,20.137222290039062
mistral_7b_instruct,person_father,cosine,all,affine_full,743,248,248,1.0,968,0.16129032258064516,0.6411290322580645,0.3208904775123342,31.983870967741936,5.0,9.209912300109863
mistral_7b_instruct,person_mother,cosine,all,affine_full,745,249,249,1.0,962,0.08835341365461848,0.5823293172690763,0.23471111911182052,29.606425702811244,8.0,8.281094551086426
mistral_7b_instruct,person_native_language,cosine,all,affine_full,689,230,230,1.0,30,0.9391304347826087,0.9869565217391304,0.956737922705314,1.382608695652174,1.0,20.55303192138672
mistral_7b_instruct,person_occupation,cosine,all,affine_full,615,206,206,1.0,31,0.49029126213592233,0.9077669902912622,0.6209395285915468,3.8640776699029127,2.0,17.8813533782959
mistral_7b_instruct,person_plays_instrument,cosine,all,affine_full,384,129,129,1.0,6,0.6821705426356589,1.0,0.8003875968992249,1.6124031007751938,1.0,18.534574508666992
mistral_7b_instruct,person_plays_position_in_sport,cosine,all,affine_full,714,238,238,1.0,14,0.8025210084033614,0.9747899159663865,0.8612577315308408,1.7941176470588236,1.0,16.231666564941406
mistral_7b_instruct,person_plays_pro_sport,cosine,all,affine_full,238,80,80,1.0,5,0.9,1.0,0.9441666666666666,1.15,1.0,19.77431869506836
mistral_7b_instruct,person_university,cosine,all,affine_full,68,23,23,1.0,69,0.0,0.4782608695652174,0.14540139575941094,18.130434782608695,11.0,11.871581077575684
mistral_7b_instruct,pokemon_evolutions,cosine,all,affine_full,33,11,11,1.0,44,0.0,0.36363636363636365,0.13624411523466026,18.272727272727273,15.0,12.463515281677246
mistral_7b_instruct,product_by_company,cosine,all,affine_full,391,131,131,1.0,30,0.816793893129771,0.9694656488549618,0.8733879987696782,2.099236641221374,1.0,18.498825073242188
mistral_7b_instruct,star_constellation,cosine,all,affine_full,271,91,91,1.0,31,0.7912087912087912,0.9010989010989011,0.8196523605172737,3.1648351648351647,1.0,13.846772193908691
mistral_7b_instruct,substance_phase,cosine,all,affine_full,37,13,13,1.0,3,0.9230769230769231,1.0,0.9487179487179487,1.1538461538461537,1.0,20.782100677490234
mistral_7b_instruct,superhero_archnemesis,cosine,all,affine_full,72,24,24,1.0,90,0.08333333333333333,0.20833333333333334,0.1424529651433819,25.5,21.0,11.516437530517578
mistral_7b_instruct,superhero_person,cosine,all,affine_full,75,25,25,1.0,100,0.0,0.32,0.07077546556702487,31.6,24.0,11.911033630371094
mistral_7b_instruct,task_done_by_tool,cosine,all,affine_full,39,13,13,1.0,51,0.0,0.38461538461538464,0.1633683988208875,22.846153846153847,24.0,16.584434509277344
mistral_7b_instruct,verb_past_tense,cosine,all,affine_full,57,19,19,1.0,76,0.21052631578947367,0.6842105263157895,0.36356985186706553,14.473684210526315,4.0,19.826679229736328
mistral_7b_instruct,word_first_letter,cosine,all,affine_full,180,61,61,1.0,25,0.9508196721311475,0.9836065573770492,0.9596870342771983,1.278688524590164,1.0,20.15165138244629
mistral_7b_instruct,word_last_letter,cosine,all,affine_full,180,61,61,1.0,18,0.6721311475409836,1.0,0.763752276867031,2.2131147540983607,1.0,19.481443405151367
mistral_7b_instruct,word_sentiment,cosine,all,affine_full,45,15,15,1.0,3,0.8666666666666667,1.0,0.9333333333333333,1.1333333333333333,1.0,20.796863555908203
