model_key,relation_key,metric,candidate_source,query_mode,n_train,n_test_total,n_test_covered,coverage,num_candidates,hits@1,hits@10,mrr,mean_rank,median_rank,direction_norm
qwen2_5_7b_instruct,adj_antonym,cosine,all,affine_full,75,25,25,1.0,95,0.04,0.2,0.09928296759091985,42.6,47.0,325.25201416015625
qwen2_5_7b_instruct,adj_comparative,cosine,all,affine_full,51,17,17,1.0,57,0.17647058823529413,0.47058823529411764,0.30049468985455147,13.764705882352942,12.0,285.6373596191406
qwen2_5_7b_instruct,adj_superlative,cosine,all,affine_full,60,20,20,1.0,79,0.2,0.45,0.33063699959830706,20.8,21.0,286.86236572265625
qwen2_5_7b_instruct,company_ceo,cosine,all,affine_full,223,75,75,1.0,287,0.06666666666666667,0.38666666666666666,0.15744507876581587,38.04,23.0,205.08692932128906
qwen2_5_7b_instruct,company_hq,cosine,all,affine_full,505,169,169,1.0,163,0.3136094674556213,0.5562130177514792,0.41151391334812204,26.11242603550296,6.0,273.6748046875
qwen2_5_7b_instruct,landmark_in_country,cosine,all,affine_full,627,209,209,1.0,91,0.5454545454545454,0.7320574162679426,0.6118228962843256,10.16267942583732,1.0,338.53533935546875
qwen2_5_7b_instruct,landmark_on_continent,cosine,all,affine_full,710,237,237,1.0,5,0.9409282700421941,1.0,0.9603375527426159,1.1434599156118144,1.0,315.65557861328125
qwen2_5_7b_instruct,object_superclass,cosine,all,affine_full,57,19,19,1.0,10,0.15789473684210525,1.0,0.3329573934837093,5.2105263157894735,6.0,332.7963562011719
qwen2_5_7b_instruct,occupation_age,cosine,all,affine_full,33,12,12,1.0,2,0.75,1.0,0.875,1.25,1.0,378.8050842285156
qwen2_5_7b_instruct,person_father,cosine,all,affine_full,743,248,248,1.0,968,0.13306451612903225,0.49193548387096775,0.25241020731383823,86.12903225806451,11.0,218.76084899902344
qwen2_5_7b_instruct,person_mother,cosine,all,affine_full,745,249,249,1.0,962,0.13253012048192772,0.46987951807228917,0.24574336315623743,76.14056224899599,14.0,193.09951782226562
qwen2_5_7b_instruct,person_native_language,cosine,all,affine_full,689,230,230,1.0,30,0.9260869565217391,0.9695652173913043,0.945441953289307,1.5826086956521739,1.0,364.1077880859375
qwen2_5_7b_instruct,person_occupation,cosine,all,affine_full,615,206,206,1.0,31,0.36893203883495146,0.8398058252427184,0.5113724616498418,5.524271844660194,3.0,307.9257507324219
qwen2_5_7b_instruct,person_plays_instrument,cosine,all,affine_full,384,129,129,1.0,6,0.5658914728682171,1.0,0.7351421188630491,1.7674418604651163,1.0,302.65130615234375
qwen2_5_7b_instruct,person_plays_position_in_sport,cosine,all,affine_full,714,238,238,1.0,14,0.6050420168067226,0.9453781512605042,0.7145071665029649,2.726890756302521,1.0,306.281494140625
qwen2_5_7b_instruct,person_plays_pro_sport,cosine,all,affine_full,238,80,80,1.0,5,0.9375,1.0,0.959375,1.1375,1.0,306.1748962402344
qwen2_5_7b_instruct,person_university,cosine,all,affine_full,68,23,23,1.0,69,0.043478260869565216,0.391304347826087,0.16178200568149464,17.52173913043478,13.0,244.78453063964844
qwen2_5_7b_instruct,pokemon_evolutions,cosine,all,affine_full,33,11,11,1.0,44,0.0,0.5454545454545454,0.11989046307228125,17.09090909090909,10.0,243.78701782226562
qwen2_5_7b_instruct,product_by_company,cosine,all,affine_full,391,131,131,1.0,30,0.7786259541984732,0.9618320610687023,0.8422297152102779,2.267175572519084,1.0,331.0210266113281
qwen2_5_7b_instruct,star_constellation,cosine,all,affine_full,271,91,91,1.0,31,0.8241758241758241,0.8901098901098901,0.8526124821763768,2.89010989010989,1.0,297.8961486816406
qwen2_5_7b_instruct,substance_phase,cosine,all,affine_full,37,13,13,1.0,3,1.0,1.0,1.0,1.0,1.0,387.0437927246094
qwen2_5_7b_instruct,superhero_archnemesis,cosine,all,affine_full,72,24,24,1.0,90,0.041666666666666664,0.20833333333333334,0.14454154850444179,21.625,17.0,243.6085205078125
qwen2_5_7b_instruct,superhero_person,cosine,all,affine_full,75,25,25,1.0,100,0.0,0.16,0.04511066318967952,44.52,44.0,258.05181884765625
qwen2_5_7b_instruct,task_done_by_tool,cosine,all,affine_full,39,13,13,1.0,51,0.0,0.3076923076923077,0.11468674120659232,18.153846153846153,14.0,283.4539489746094
qwen2_5_7b_instruct,verb_past_tense,cosine,all,affine_full,57,19,19,1.0,76,0.10526315789473684,0.3684210526315789,0.22630492321921905,24.68421052631579,19.0,304.0658264160156
qwen2_5_7b_instruct,word_first_letter,cosine,all,affine_full,180,61,61,1.0,25,0.9180327868852459,0.9508196721311475,0.9341486221910524,2.0,1.0,387.21038818359375
qwen2_5_7b_instruct,word_last_letter,cosine,all,affine_full,180,61,61,1.0,18,0.6721311475409836,0.9836065573770492,0.7891041563172712,1.8852459016393444,1.0,376.5411376953125
qwen2_5_7b_instruct,word_sentiment,cosine,all,affine_full,45,15,15,1.0,3,0.8,1.0,0.888888888888889,1.2666666666666666,1.0,387.233642578125
