variant,n_overlap_fig2,pearson_vs_fig2,spearman_vs_fig2,mean_abs_diff,max_abs_diff,base_dir
s20_o22,28,0.9241340430500792,0.9463601532567051,0.3898777440190315,0.4460573494434357,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s20_o22
s22_o24,28,0.9167815198121001,0.9381499726327313,0.4855324463652713,0.5462774932384491,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s22_o24
s20_o31,28,0.908542566827327,0.9359605911330049,0.2643020163689341,0.3409779071807862,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s20_o31
s22_o31,28,0.9043632392889269,0.9343185550082101,0.2837688220398767,0.3685314059257508,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s22_o31
s22_o26,28,0.9033982861019703,0.9255610290093048,0.45689857804349493,0.5335525274276733,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s22_o26
s22_o28,28,0.9033982861019703,0.9255610290093048,0.45689857804349493,0.5335525274276733,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s22_o28
s22_o30,28,0.9033982861019703,0.9255610290093048,0.45689857804349493,0.5335525274276733,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s22_o30
s20_o24,28,0.8928405249705385,0.920087575259989,0.3200983213526862,0.3930370807647705,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s20_o24
s18_o31,28,0.89063854424687,0.9419813902572524,0.2121601722070149,0.2803561091423035,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s18_o31
s16_o31,28,0.8801849371743027,0.9381499726327313,0.19277646711894444,0.26153579354286194,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s16_o31
s20_o26,28,0.8798642731863329,0.8954570333880678,0.2784032779080527,0.36043962836265564,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s20_o26
s20_o28,28,0.8798642731863329,0.8954570333880678,0.2784032779080527,0.36043962836265564,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s20_o28
s20_o30,28,0.8798642731863329,0.8954570333880678,0.2784032779080527,0.36043962836265564,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s20_o30
s14_o31,28,0.8638642543972526,0.9064039408866994,0.15698509131159102,0.23216885328292847,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s14_o31
s12_o31,28,0.8391282434360862,0.8987411056376573,0.1243490566100393,0.21220380067825317,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s12_o31
s18_o22,28,0.8272010252016544,0.8686371100164203,0.2331612887127059,0.3139230012893677,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s18_o22
s10_o31,28,0.8187312267539575,0.876847290640394,0.09986087786299842,0.17919617891311646,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s10_o31
s16_o22,28,0.7952142098366137,0.8483853311439519,0.20016517277274812,0.28529027104377747,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s16_o22
s8_o31,28,0.7883547196921719,0.8330596606458676,0.08751893362828664,0.16149526834487915,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s8_o31
s14_o22,28,0.7818072921576628,0.8434592227695675,0.16267752753836767,0.2496988475322724,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s14_o22
s6_o31,28,0.7771746680199337,0.8056923918992885,0.08458301424980164,0.16440516710281372,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s6_o31
s18_o24,28,0.7392867241539951,0.8232074438970991,0.1599823800580842,0.25840890407562256,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s18_o24
s12_o22,28,0.7241164881374681,0.7744937055281882,0.10747416423899787,0.1833937168121338,runs/experiments/llama_all47_layer_sweep_chat_20260425_214934/s12_o22
