variant,n_overlap_fig2,pearson_vs_fig2,spearman_vs_fig2,mean_abs_diff,max_abs_diff,base_dir
s22_o24,28,0.9055726874808232,0.9014778325123153,0.493406582357628,0.5701784789562225,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s22_o24
s20_o31,28,0.8863574930810414,0.9222769567597153,0.30221584865025114,0.39299720525741577,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s20_o31
s22_o31,28,0.8827539361597038,0.91351943076081,0.3235607748585088,0.40319332480430603,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s22_o31
s22_o26,28,0.8756963230489093,0.8500273672687465,0.47193238431853907,0.5568957775831224,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s22_o26
s22_o28,28,0.8756963230489093,0.8500273672687465,0.47193238431853907,0.5568957775831224,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s22_o28
s22_o30,28,0.8756963230489093,0.8500273672687465,0.47193238431853907,0.5568957775831224,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s22_o30
s20_o22,28,0.867188213305355,0.8828680897646416,0.3758027106523514,0.4563366174697877,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s20_o22
s18_o31,28,0.8543592775644695,0.8932676518883416,0.2312667721084186,0.3162301182746888,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s18_o31
s16_o31,28,0.8430390850783785,0.8910782703886152,0.21411209340606416,0.30195823311805725,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s16_o31
s14_o31,28,0.8281597369388525,0.8615216201423097,0.19884066390139715,0.28839713335037237,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s14_o31
s12_o31,28,0.7959356891146601,0.8270388615216201,0.1534393738423075,0.25047886371612554,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s12_o31
s20_o24,28,0.7866663007749648,0.8407224958949097,0.30469166913202833,0.40394482016563416,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s20_o24
s10_o31,28,0.7553929483230928,0.7865353037766831,0.09885120072535106,0.17591184377670288,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s10_o31
s6_o31,28,0.7465183910290599,0.8089764641488779,0.09274872818163463,0.17960602045059204,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s6_o31
s20_o26,28,0.7454429196712805,0.7963875205254516,0.2718807299222265,0.37947666645050054,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s20_o26
s20_o28,28,0.7454429196712805,0.7963875205254516,0.2718807299222265,0.37947666645050054,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s20_o28
s20_o30,28,0.7454429196712805,0.7963875205254516,0.2718807299222265,0.37947666645050054,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s20_o30
s8_o31,28,0.7386935478996948,0.7739463601532567,0.09373638033866882,0.16657859086990356,runs/experiments/llama_all47_layer_sweep_plain_20260425_185711/s8_o31
